author,count
Jonathan W Schooler,55
Tonya Y Engstler-Schooler,55
Pier Paolo Pandolfi,46
Laura Poliseno,46
Leonardo Salmena,46
Giorgio Stassi,38
Matilde Todaro,38
Dick J. Richel,35
Martin R. Sprick,35
Felipe de Sousa e Melo,35
Hans M. Rodermond,35
Christian J. Merz,35
Jurriaan B. Tuynman,35
Louis Vermeulen,35
Tijana Borovski,35
Maartje van der Heijden,35
Kate Cameron,35
Joan H. de Jong,35
Jan Paul Medema,35
Kristel Kemper,35
Eldar Shafir,33
Daniel Kahneman,29
Adam D. Galinsky,29
Judy Lieberman,28
Dror Weiss,28
Amos Tversky,28
Paolo Provero,28
Florian A. Karreth,28
Yvonne Tay,28
Ugo Ala,28
Lev M. Kats,28
Isidore Rigoutsos,28
Ferdinando Di Cunto,28
Shen Mynn Tan,28
Benoît Monin,27
Chandra Sripada,24
Daniel Kessler,24
John Jonides,24
Dale T. Miller,24
Anne E. Wilson,22
John T. Cacioppo,22
Michael Ross,22
Bogdan Wojciszke,21
Michal Parzuchowski,21
Richard E. Petty,21
Jesse Chandler,21
Aleksandra Szymkow,21
Lera Boroditsky,21
Hans IJzerman,21
Gillian Ku,21
Sabine Sczesny,20
Dagmar Stahlberg,20
Martin Heesacker,20
Sendhil Mullainathan,20
Friederike Braun,20
Anuj Shah,20
Tom Pyszczynski,19
Sheldon Solomon,19
Jeff Greenberg,19
Ronald M. Paranal,18
Linda Simon,18
Michael Breus,18
Richard A. Young,18
Brett S. Carver,18
William J. Haveman,18
Jiangwen Zhang,18
James E. Bradner,18
Peter B. Rahl,18
Fritz Strack,17
Deanna M. Kennedy,17
Charles H. Shea,17
Jason Boyle,17
Kathleen D. Vohs,17
Joyce L. McEwen,16
"Iigaya, Kiyohito",16
Michael I. Norton,16
"O'Doherty, John P.",16
"Charpentier, Caroline J.",16
Lu Vorhies,16
Lee Anna Clark,16
Leonard L. Martin,15
Sabine Stepper,15
Ari Melnick,14
María E. Figueroa,14
S. E. Asch,14
Raya Khanin,14
Donald M. O’Rourke,14
Kathryn E. Wellen,14
Timothy A. Chan,14
Shelley L. Berger,14
Dan Rohle,14
Gurpreet S. Kapoor,14
Patrick S. Ward,14
Chao Lü,14
Craig B. Thompson,14
Ingo K. Mellinghoff,14
Omar Abdel‐Wahab,14
Şevin Turcan,14
Jakob Lovén,14
Charles Y. Lin,14
Ross L. Levine,14
Christopher R. Edwards,14
Tong Ihn Lee,14
Christopher B. Burge,14
Aaron C. Kay,14
Joshua Knobe,14
Jennifer A. Richeson,13
"Klink, Richard R.",13
Thomas Gilovich,13
Joachim Vosgerau,12
Dacher Keltner,12
Marc Ziegele,12
George Loewenstein,12
Kenneth A. Rasinski,12
Leonard Reinecke,12
Maria Zagatsky,12
Penny S. Visser,12
Viola C. Granow,12
Edith M. Rickett,12
John A. Bargh,11
Irene Scopelliti,11
I Bülthoff,11
Mintao Zhao,11
HH Bülthoff,11
Todd Rogers,11
Emanuele Castano,11
Wendy Wood,11
David Kidd,11
Alice H. Eagly,11
Francesca Gino,11
Maurice E. Schweitzer,10
Bijay S. Jaiswal,10
David Stokoe,10
Stephen D. Hart,10
Somasekar Seshagiri,10
Kim A. Reeves,10
Richard Zeckhauser,10
Jennifer E. Storey,10
Andrea L. Gibas,10
Simone Schnall,9
Nalini Ambady,9
Steve Sideris,9
Susan L. Gloor,9
Tony Morales,9
Wilma Otten,9
Jeffrey A. Joireman,9
Eugene M. Caruso,9
Marcia Belvin,9
Klaus P. Hoeflich,9
Shanette C. Porter,9
Lori S. Friedman,9
Shiva Malek,9
Nira Liberman,9
Kyung Song,9
Carl J. Thoresen,9
Daniel J. Anderson,9
David S. Kosson,9
Michelle Rheinschmidt‐Same,9
Ryan Alvarado,9
Amanda R. Lorenz,9
Ivana Yen,9
Hartmut Koeppen,9
Barbara J. Brandhuber,9
Guy Vigers,9
Mary J. C. Ludlam,9
Adam Waytz,9
Joseph P. Newman,9
Ignacio Aliagas,9
Bonnie Liu,9
Georgia Hatzivassiliou,9
Henrik Tham,8
Can Liu,8
Xin Chen,8
Ellen M. N. De Bruin,8
Yaacov Trope,8
Paul Bloom,8
Ron Dotsch,8
Bigang Liu,8
Paul A. M. Van Lange,8
Dean G. Tang,8
Kevin Kelnar,8
Tammy Calhoun‐Davis,8
Sonja J. Heidorn,8
