doi,organism,indication,confidence
10.1002/14651858.cd002743.pub2,mixed,both,high
10.1001/jamaoto.2020.3053,in_vitro,not_applicable,high
10.1001/jamainternmed.2025.4283,human,prevention,high
10.1001/jamaoto.2020.5490,human,treatment,high
10.1001/archotol.1992.01880090049015,human,treatment,high
10.1002/advs.202300656,mixed,both,high
10.1002/adma.202008304,in_vitro,prevention,high
10.1002/14651858.cd013627.pub2,unclear,both,medium
10.1002/14651858.cd002743,mixed,both,high
10.1002/14651858.cd013626.pub2,human,prevention,high
10.1002/adtp.202100059,animal,treatment,high
10.1002/adma.202408294,mixed,prevention,high
10.1002/advs.202506430,mixed,treatment,high
10.1002/adma.202420563,mixed,prevention,high
10.1002/adma.202406348,animal,prevention,high
10.1002/alr.22975,mixed,treatment,high
10.1002/alr.21038,animal,treatment,high
10.1002/advs.202506764,mixed,prevention,high
10.1002/jmv.26514,in_vitro,not_applicable,high
10.1002/cbf.959,human,not_applicable,high
10.1002/jmv.1890170202,human,prevention,high
10.1002/jmv.28805,human,treatment,high
10.1002/cti2.1443,animal,treatment,high
10.1002/bmc.4271,human,not_applicable,high
10.1002/lary.29935,human,treatment,high
10.1002/prp2.810,human,treatment,high
10.1002/lary.31430,human,treatment,high
10.1002/mco2.101,unclear,both,medium
10.1002/smll.202507669,mixed,both,high
10.1002/smmd.20230009,animal,treatment,high
10.1007/978-1-4939-1538-5_14,animal,treatment,high
10.1007/978-3-030-71697-4_14,mixed,both,medium
10.1007/bf01310519,human,treatment,high
10.1006/viro.2001.1213,animal,treatment,high
10.1007/978-1-60327-547-7_16,animal,treatment,medium
10.1007/bf01314381,animal,prevention,high
10.1007/bf03256603,human,both,high
10.1007/s00705-008-0067-0,animal,prevention,high
10.1007/s00405-021-06644-5,in_vitro,not_applicable,high
10.1007/s10517-018-4140-8,mixed,prevention,high
10.1007/s12070-020-02201-4,in_vitro,prevention,medium
10.1007/s11427-023-2410-5,animal,prevention,high
10.1007/s10517-026-06627-8,in_vitro,not_applicable,high
10.1007/bf02126707,human,prevention,high
10.1007/s12070-021-02525-9,in_vitro,prevention,high
10.1007/s12070-021-02616-7,human,prevention,high
10.1007/s12070-021-02885-2,unclear,prevention,medium
10.1007/s12070-022-03106-0,human,treatment,high
10.1007/s13346-025-01916-7,mixed,prevention,high
10.1007/s40121-022-00710-z,in_silico,prevention,high
10.1016/0166-3542(83)90034-7,human,prevention,high
10.1016/0166-3542(86)90011-2,human,prevention,high
10.1016/0166-3542(84)90027-5,human,not_applicable,high
10.1016/0166-3542(88)90022-8,human,prevention,high
10.1007/s12602-009-9008-9,in_vitro,not_applicable,medium
10.1016/0166-3542(88)90033-2,human,not_applicable,high
10.1016/0166-3542(92)90080-o,animal,prevention,high
10.1016/0166-3542(88)90055-1,human,prevention,high
10.1016/j.amjoto.2020.102618,human,prevention,high
10.1016/0166-3542(95)00832-2,animal,prevention,high
10.1016/j.antiviral.2006.07.011,animal,both,high
10.1016/j.antiviral.2007.11.009,human,not_applicable,high
10.1016/0166-3542(90)90061-b,human,both,high
10.1016/j.antiviral.2008.06.003,animal,both,high
10.1016/j.antiviral.2010.11.007,animal,both,high
10.1016/j.antiviral.2011.09.004,animal,prevention,high
10.1016/j.antiviral.2015.11.005,mixed,prevention,high
10.1016/j.antiviral.2015.11.006,animal,treatment,high
10.1016/j.antiviral.2017.07.003,animal,treatment,high
10.1016/j.antiviral.2018.01.012,animal,treatment,high
10.1016/j.antiviral.2023.105547,mixed,prevention,high
10.1016/j.antiviral.2024.105815,animal,prevention,high
10.1016/j.antiviral.2024.106063,mixed,prevention,high
10.1016/j.antiviral.2024.105897,ex_vivo,prevention,medium
10.1016/0192-0561(86)90095-0,animal,prevention,high
10.1016/j.bbrep.2021.101187,ex_vivo,prevention,high
10.1016/j.apsb.2023.05.030,mixed,prevention,high
10.1016/j.biopha.2022.112729,human,treatment,high
10.1016/j.bmc.2005.03.048,animal,treatment,high
10.1016/j.antiviral.2024.105945,mixed,prevention,high
10.1016/j.biopha.2022.113773,animal,treatment,high
10.1016/j.bmcl.2009.04.067,animal,treatment,high
10.1016/j.carbpol.2024.122156,animal,both,high
10.1016/j.carbpol.2025.124794,in_vitro,not_applicable,high
10.1016/j.cegh.2021.100826,mixed,treatment,high
10.1016/j.cimid.2025.102373,animal,both,high
10.1016/j.celrep.2020.108016,mixed,both,high
10.1016/j.cyto.2021.155720,animal,prevention,high
10.1016/j.drudis.2023.103601,in_silico,not_applicable,high
10.1016/j.ejphar.2025.177567,animal,treatment,high
10.1016/j.ejps.2023.106673,in_vitro,both,high
10.1016/j.dentre.2024.100108,in_vitro,not_applicable,high
10.1016/j.ejps.2025.107069,human,not_applicable,high
10.1016/j.etap.2014.10.003,animal,treatment,high
10.1016/j.ijheh.2020.113605,mixed,prevention,high
10.1016/j.ijpharm.2011.02.040,animal,not_applicable,high
10.1016/j.ijid.2012.05.124,animal,both,high
10.1016/j.ijpharm.2022.121704,in_vitro,not_applicable,high
10.1016/j.ijantimicag.2025.107491,animal,prevention,high
10.1016/j.ijpharm.2024.123896,in_vitro,not_applicable,high
10.1016/j.imu.2020.100446,in_silico,not_applicable,high
10.1016/j.immuni.2021.01.017,animal,both,high
10.1016/j.jbc.2024.107884,mixed,prevention,high
10.1016/j.intimp.2017.12.001,animal,both,high
10.1016/j.jconrel.2023.04.029,animal,prevention,high
10.1016/j.jconrel.2023.10.050,animal,treatment,high
10.1016/j.jhin.2021.10.019,in_vitro,not_applicable,high
10.1016/j.jinf.2021.05.009,human,treatment,high
10.1016/j.jtbi.2025.112237,in_silico,prevention,high
10.1016/j.jphotobiol.2025.113261,mixed,treatment,high
10.1016/j.lanepe.2021.100084,human,treatment,high
10.1016/j.lanepe.2021.100094,human,both,high
10.1016/j.jconrel.2025.01.044,animal,treatment,high
10.1016/j.mehy.2020.109802,unclear,prevention,high
10.1016/j.lansea.2022.100110,human,treatment,high
10.1016/j.lansea.2022.100036,human,treatment,high
10.1016/j.micpath.2020.104504,human,both,high
10.1016/j.mehy.2022.110775,in_silico,not_applicable,high
10.1016/j.mtbio.2025.102567,animal,prevention,high
10.1016/j.rvsc.2016.02.020,animal,prevention,high
10.1016/j.peptides.2021.170638,in_vitro,not_applicable,medium
10.1016/j.prevetmed.2015.04.008,animal,prevention,high
10.1016/j.trsl.2015.06.009,animal,treatment,high
10.1016/j.phymed.2021.153892,mixed,treatment,high
10.1016/j.vaccine.2010.03.062,human,prevention,high
10.1016/j.phymed.2020.153396,in_silico,treatment,medium
10.1016/j.virol.2011.06.021,animal,prevention,high
10.1016/j.ymthe.2022.04.025,animal,prevention,high
10.1016/j.xcrm.2024.101418,animal,both,high
10.1016/j.ymthe.2018.01.008,animal,prevention,high
10.1016/j.vaccine.2009.01.048,animal,prevention,high
10.1016/j.ymthe.2025.05.028,mixed,both,high
10.1016/j.virusres.2025.199642,in_silico,not_applicable,medium
10.1016/s0002-9343(01)00765-3,human,treatment,high
10.1016/s0166-3542(01)00158-9,mixed,prevention,high
10.1016/s0166-3542(87)80002-5,animal,prevention,high
10.1016/s0166-3542(85)80033-4,human,both,high
10.1016/s0264-410x(00)00281-4,human,treatment,high
10.1016/s0272-2712(18)30721-2,human,both,high
10.1016/s0928-8244(03)00358-4,animal,both,high
10.1021/acs.biomac.5c00037,animal,prevention,high
10.1017/ash.2022.199,human,prevention,high
10.1021/acscentsci.4c00054,animal,treatment,high
10.1021/acs.jmedchem.3c01308,mixed,treatment,high
10.1017/s0950268800029484,human,prevention,high
10.1021/acscentsci.2c01243,animal,both,high
10.1021/acsinfecdis.4c00504,mixed,treatment,high
10.1021/acsinfecdis.6b00064,animal,prevention,high
10.1021/acsnano.3c02050,mixed,both,high
10.1021/jm3009844,mixed,treatment,high
10.1021/jm00188a013,mixed,treatment,high
10.1038/s41467-020-19386-5,animal,treatment,high
10.1038/s41467-022-32216-0,mixed,prevention,high
10.1038/s41467-025-59294-0,animal,prevention,high
10.1038/s41467-023-39738-1,animal,prevention,high
10.1038/nm1174,mixed,both,high
10.1038/s41467-026-68462-9,animal,both,high
10.1038/s41598-020-80896-9,mixed,prevention,high
10.1021/mp300257x,animal,prevention,high
10.1038/s41598-021-99404-8,mixed,prevention,high
10.1038/s41598-023-47547-1,animal,treatment,high
10.1038/s41598-022-08066-7,animal,both,high
10.1038/s41598-022-14601-3,human,both,high
10.1038/s41598-023-32546-z,human,treatment,high
10.1038/s41598-023-42539-7,human,prevention,high
10.1038/s41598-025-12444-2,animal,treatment,high
10.1038/s41598-024-72262-w,ex_vivo,prevention,high
10.1038/s42003-025-07491-4,animal,prevention,high
10.1038/srep22880,animal,treatment,high
10.1038/s41598-025-95494-w,animal,treatment,high
10.1038/s42003-023-04589-5,animal,prevention,high
10.1038/srep28729,animal,prevention,high
10.1038/srep27870,mixed,prevention,high
10.1038/srep37999,animal,treatment,high
10.1038/srep23110,animal,both,high
10.1056/nejm198601093140201,human,prevention,high
10.1073/pnas.0912186107,human,both,high
10.1056/nejm198601093140202,human,prevention,high
10.1073/pnas.2219523120,mixed,treatment,high
10.1073/pnas.1404205111,animal,prevention,high
10.1056/nejm199709253371302,human,treatment,high
10.1073/pnas.2408469121,animal,treatment,high
10.1080/09205063.2021.1925391,in_vitro,not_applicable,high
10.1080/10717544.2018.1428242,animal,not_applicable,high
10.1055/s-0031-1296635,in_vitro,not_applicable,high
10.1080/14787210.2024.2378185,in_vitro,not_applicable,medium
10.1080/19420862.2018.1433974,mixed,prevention,high
10.1080/17476348.2021.1988569,human,prevention,high
10.1080/17425247.2025.2522250,animal,both,high
10.1080/15476910500203925,animal,not_applicable,high
10.1080/22221751.2023.2275598,animal,both,high
10.1080/22221751.2021.1899770,animal,treatment,high
10.1073/pnas.2319566121,mixed,both,high
10.1086/313696,human,prevention,high
10.1086/341455,human,treatment,high
10.1086/512858,human,prevention,high
10.1089/jir.1980.1.169,human,prevention,high
