doi,spray_type,agent,confidence
10.1002/14651858.cd013626.pub2,other,unspecified,low
10.1001/jamaoto.2020.5490,antiseptic,povidone-iodine,high
10.1001/jamainternmed.2025.4283,other,azelastine,high
10.1002/adma.202008304,barrier_agent,gellan and lambda-carrageenan composite,high
10.1001/jamaoto.2020.3053,antiseptic,povidone-iodine,high
10.1002/adma.202406348,barrier_agent,pathogen capture and neutralizing spray (pcans),high
10.1002/14651858.cd013627.pub2,other,unspecified,low
10.1002/14651858.cd002743,interferon,intranasal interferon,high
10.1001/archotol.1992.01880090049015,interferon,recombinant interferon beta serine,high
10.1002/14651858.cd002743.pub2,interferon,intranasal interferons,high
10.1002/adtp.202100059,antiviral_drug,tamibarotene,high
10.1002/adma.202408294,other,dendritic polymer 2d-suprapol,medium
10.1002/advs.202300656,other,"rna aptamer (modified with 2'-fluoro pyrimidines, 2'-o-methyl purines, cholesterol, and peg40k)",high
10.1002/bmc.4271,other,mdt-637,high
10.1002/alr.21038,antiseptic,nvc-422,high
10.1002/adma.202420563,other,chiral vanadium trioxide nanoparticles (l-v(2)o(3)),high
10.1002/advs.202506430,other,trypstatin,high
10.1002/alr.22975,antiseptic,johnson and johnson's baby shampoo (detergent virucidal),high
10.1002/advs.202506764,interferon,interferon-lambda (g-hifn-lambda3-de1),high
10.1002/cbf.959,other,calcitonin,medium
10.1002/cti2.1443,other,lat8881,high
10.1002/jmv.26514,saline_irrigation,baby shampoo nasal rinse,medium
10.1002/lary.29935,antiseptic,povidone-iodine,high
10.1002/mco2.101,other,unspecified,low
10.1002/jmv.28805,other,igm-like ace2 fusion protein (hh-120),high
10.1002/prp2.810,barrier_agent,iota-carrageenan,high
10.1002/lary.31430,antiseptic,povidone-iodine (nasodine),high
10.1002/smll.202507669,other,postan (polyoxyethylene sorbitan oleate and sodium taurodeoxycholate lipid nanoparticles),high
10.1002/smmd.20230009,other,anti-ul29 sirna swarm,high
10.1002/jmv.1890170202,interferon,leucocyte interferon,high
10.1007/bf01310519,antiviral_drug,r61837,high
10.1006/viro.2001.1213,other,2-5a antisense oligonucleotide,high
10.1007/bf01314381,antiviral_drug,virazole,high
10.1007/978-1-60327-547-7_16,other,chemically modified second-generation sirna,high
10.1007/978-1-4939-1538-5_14,other,intranasal sirna,high
10.1007/978-3-030-71697-4_14,other,unspecified,low
10.1007/bf02126707,antiviral_drug,"1-phenyl-3-(4-phenyl-2-thiazolyl) guanidine (cl 88,277)",high
10.1007/s00705-008-0067-0,other,phosphorodiamidate morpholino oligomers (ppmo),high
10.1007/bf03256603,antiviral_drug,zanamivir,high
10.1007/s10517-026-06627-8,antiviral_drug,ribavirin,high
10.1007/s12070-020-02201-4,antiseptic,povidone-iodine,high
10.1007/s10517-018-4140-8,other,oxidized dextrans,high
10.1007/s12070-021-02525-9,antiseptic,povidone-iodine (pvp-i),high
