doi,study_design,confidence
10.1001/jamainternmed.2025.4283,rct,high
10.1001/archotol.1992.01880090049015,human_challenge,high
10.1001/jamaoto.2020.3053,in_vitro,high
10.1001/jamaoto.2020.5490,rct,high
10.1002/14651858.cd002743.pub2,other,high
10.1002/14651858.cd002743,rct,high
10.1002/14651858.cd013626.pub2,other,high
10.1002/14651858.cd013627.pub2,other,high
10.1002/adma.202008304,formulation_pk,high
10.1002/adma.202406348,animal_in_vivo,high
10.1002/adma.202420563,animal_in_vivo,high
10.1002/adtp.202100059,animal_in_vivo,high
10.1002/adma.202408294,animal_in_vivo,high
10.1002/advs.202506430,animal_in_vivo,high
10.1002/advs.202300656,animal_in_vivo,high
10.1002/alr.21038,animal_in_vivo,high
10.1002/advs.202506764,in_silico,high
10.1002/bmc.4271,formulation_pk,high
10.1002/alr.22975,rct,high
10.1002/cbf.959,non_randomized_trial,high
10.1002/cti2.1443,animal_in_vivo,high
10.1002/jmv.1890170202,non_randomized_trial,high
10.1002/jmv.26514,in_vitro,high
10.1002/jmv.28805,non_randomized_trial,high
10.1002/lary.31430,rct,high
10.1002/lary.29935,rct,high
10.1002/prp2.810,rct,high
10.1002/mco2.101,other,high
10.1002/smll.202507669,animal_in_vivo,high
10.1002/smmd.20230009,animal_in_vivo,high
10.1007/978-1-4939-1538-5_14,animal_in_vivo,high
10.1007/978-1-60327-547-7_16,animal_in_vivo,high
10.1006/viro.2001.1213,animal_in_vivo,high
10.1007/978-3-030-71697-4_14,other,high
10.1007/bf01310519,human_challenge,high
10.1007/bf01314381,animal_in_vivo,high
10.1007/bf03256603,rct,high
10.1007/bf02126707,human_challenge,high
10.1007/s00405-021-06644-5,in_vitro,high
10.1007/s00705-008-0067-0,animal_in_vivo,high
10.1007/s10517-018-4140-8,animal_in_vivo,high
10.1007/s10517-026-06627-8,formulation_pk,high
10.1007/s11427-023-2410-5,animal_in_vivo,high
10.1007/s12070-020-02201-4,other,high
10.1007/s12070-021-02525-9,in_vitro,high
10.1007/s12070-021-02616-7,rct,high
10.1007/s12070-021-02885-2,other,high
10.1007/s12070-022-03106-0,rct,high
10.1007/s12602-009-9008-9,other,high
10.1007/s13346-025-01916-7,ex_vivo,high
10.1007/s40121-022-00710-z,in_silico,high
10.1016/0166-3542(83)90034-7,human_challenge,high
10.1016/0166-3542(84)90027-5,human_challenge,high
10.1016/0166-3542(86)90011-2,non_randomized_trial,high
10.1016/0166-3542(88)90022-8,human_challenge,high
10.1016/0166-3542(88)90033-2,non_randomized_trial,high
10.1016/0166-3542(88)90055-1,human_challenge,high
10.1016/0166-3542(90)90061-b,human_challenge,high
10.1016/0166-3542(92)90080-o,animal_in_vivo,high
10.1016/0166-3542(95)00832-2,animal_in_vivo,high
10.1016/0192-0561(86)90095-0,animal_in_vivo,high
10.1016/j.amjoto.2020.102618,case_series,medium
10.1016/j.antiviral.2006.07.011,animal_in_vivo,high
10.1016/j.antiviral.2007.11.009,non_randomized_trial,high
10.1016/j.antiviral.2008.06.003,animal_in_vivo,high
10.1016/j.antiviral.2010.11.007,animal_in_vivo,high
10.1016/j.antiviral.2011.09.004,animal_in_vivo,high
10.1016/j.antiviral.2015.11.005,animal_in_vivo,high
10.1016/j.antiviral.2015.11.006,animal_in_vivo,high
10.1016/j.antiviral.2017.07.003,animal_in_vivo,high
10.1016/j.antiviral.2018.01.012,animal_in_vivo,high
10.1016/j.antiviral.2023.105547,animal_in_vivo,high
10.1016/j.antiviral.2024.105815,animal_in_vivo,high
10.1016/j.antiviral.2024.105945,other,high
10.1016/j.antiviral.2024.105897,in_vitro,high
10.1016/j.antiviral.2024.106063,other,high
10.1016/j.bbrep.2021.101187,ex_vivo,high
10.1016/j.biopha.2022.112729,rct,high
10.1016/j.apsb.2023.05.030,animal_in_vivo,high
10.1016/j.bmc.2005.03.048,animal_in_vivo,high
10.1016/j.carbpol.2024.122156,animal_in_vivo,high
10.1016/j.carbpol.2025.124794,in_vitro,medium
10.1016/j.cegh.2021.100826,other,high
10.1016/j.bmcl.2009.04.067,animal_in_vivo,high
10.1016/j.celrep.2020.108016,animal_in_vivo,high
10.1016/j.cimid.2025.102373,animal_in_vivo,high
10.1016/j.cyto.2021.155720,animal_in_vivo,high
10.1016/j.dentre.2024.100108,in_vitro,high
10.1016/j.drudis.2023.103601,in_silico,medium
10.1016/j.ejps.2023.106673,formulation_pk,high
10.1016/j.ejphar.2025.177567,animal_in_vivo,high
10.1016/j.ejps.2025.107069,formulation_pk,high
10.1016/j.etap.2014.10.003,animal_in_vivo,high
10.1016/j.ijheh.2020.113605,other,high
10.1016/j.ijantimicag.2025.107491,animal_in_vivo,high
10.1016/j.ijid.2012.05.124,animal_in_vivo,high
10.1016/j.ijpharm.2011.02.040,animal_in_vivo,high
10.1016/j.ijpharm.2022.121704,formulation_pk,high
10.1016/j.ijpharm.2024.123896,formulation_pk,high
10.1016/j.immuni.2021.01.017,animal_in_vivo,high
10.1016/j.imu.2020.100446,in_silico,high
10.1016/j.intimp.2017.12.001,animal_in_vivo,high
10.1016/j.jbc.2024.107884,animal_in_vivo,high
10.1016/j.jconrel.2023.04.029,animal_in_vivo,high
10.1016/j.jconrel.2023.10.050,animal_in_vivo,high
10.1016/j.jconrel.2025.01.044,animal_in_vivo,high
10.1016/j.jhin.2021.10.019,in_vitro,high
10.1016/j.jinf.2021.05.009,rct,high
10.1016/j.jphotobiol.2025.113261,animal_in_vivo,high
10.1016/j.lanepe.2021.100084,rct,high
10.1016/j.jtbi.2025.112237,in_silico,high
10.1016/j.lansea.2022.100036,rct,high
10.1016/j.lanepe.2021.100094,non_randomized_trial,medium
10.1016/j.lansea.2022.100110,rct,high
10.1016/j.mehy.2020.109802,other,high
10.1016/j.mehy.2022.110775,in_silico,high
10.1016/j.micpath.2020.104504,case_series,high
10.1016/j.peptides.2021.170638,animal_in_vivo,high
10.1016/j.mtbio.2025.102567,animal_in_vivo,high
10.1016/j.phymed.2020.153396,in_silico,medium
10.1016/j.prevetmed.2015.04.008,animal_in_vivo,high
10.1016/j.phymed.2021.153892,animal_in_vivo,high
10.1016/j.rvsc.2016.02.020,animal_in_vivo,high
10.1016/j.vaccine.2009.01.048,animal_in_vivo,high
10.1016/j.trsl.2015.06.009,animal_in_vivo,high
10.1016/j.vaccine.2010.03.062,rct,high
10.1016/j.virol.2011.06.021,animal_in_vivo,high
10.1016/j.virusres.2025.199642,other,high
10.1016/j.xcrm.2024.101418,animal_in_vivo,high
10.1016/j.ymthe.2018.01.008,animal_in_vivo,high
10.1016/j.ymthe.2022.04.025,animal_in_vivo,high
10.1016/j.ymthe.2025.05.028,animal_in_vivo,high
10.1016/s0002-9343(01)00765-3,rct,high
10.1016/s0166-3542(01)00158-9,animal_in_vivo,high
10.1016/s0166-3542(85)80033-4,other,high
10.1016/s0166-3542(87)80002-5,animal_in_vivo,high
10.1016/s0264-410x(00)00281-4,observational,medium
10.1016/s0928-8244(03)00358-4,animal_in_vivo,high
10.1016/s0272-2712(18)30721-2,other,high
10.1017/ash.2022.199,non_randomized_trial,high
10.1017/s0950268800029484,rct,high
10.1021/acs.biomac.5c00037,animal_in_vivo,high
10.1021/acs.jmedchem.3c01308,in_vitro,high
10.1021/acscentsci.2c01243,animal_in_vivo,high
10.1021/acscentsci.4c00054,animal_in_vivo,high
10.1021/acsinfecdis.4c00504,animal_in_vivo,high
10.1021/acsinfecdis.6b00064,animal_in_vivo,high
10.1021/acsnano.3c02050,animal_in_vivo,high
10.1021/jm00188a013,animal_in_vivo,high
10.1021/jm3009844,animal_in_vivo,high
10.1021/mp300257x,animal_in_vivo,high
10.1038/nm1174,animal_in_vivo,high
10.1038/s41467-020-19386-5,animal_in_vivo,high
10.1038/s41467-022-32216-0,animal_in_vivo,high
10.1038/s41467-025-59294-0,animal_in_vivo,high
10.1038/s41467-023-39738-1,animal_in_vivo,high
10.1038/s41467-026-68462-9,animal_in_vivo,high
10.1038/s41598-020-80896-9,animal_in_vivo,high
10.1038/s41598-021-99404-8,animal_in_vivo,high
10.1038/s41598-022-08066-7,animal_in_vivo,high
10.1038/s41598-022-14601-3,rct,high
10.1038/s41598-023-32546-z,rct,high
10.1038/s41598-023-42539-7,rct,high
10.1038/s41598-023-47547-1,animal_in_vivo,high
10.1038/s41598-024-72262-w,ex_vivo,high
10.1038/s41598-025-12444-2,animal_in_vivo,high
10.1038/s41598-025-95494-w,animal_in_vivo,high
10.1038/s42003-023-04589-5,animal_in_vivo,high
10.1038/s42003-025-07491-4,animal_in_vivo,high
10.1038/srep22880,animal_in_vivo,high
10.1038/srep23110,animal_in_vivo,high
10.1038/srep27870,animal_in_vivo,high
10.1038/srep28729,animal_in_vivo,high
10.1038/srep37999,animal_in_vivo,high
10.1055/s-0031-1296635,in_vitro,high
10.1056/nejm198601093140201,non_randomized_trial,high
10.1056/nejm199709253371302,rct,high
10.1056/nejm198601093140202,non_randomized_trial,high
10.1073/pnas.0912186107,human_challenge,high
10.1073/pnas.1404205111,animal_in_vivo,high
10.1073/pnas.2219523120,animal_in_vivo,high
10.1073/pnas.2319566121,animal_in_vivo,medium
10.1073/pnas.2408469121,animal_in_vivo,high
10.1080/09205063.2021.1925391,in_silico,low
10.1080/10717544.2018.1428242,formulation_pk,high
10.1080/14787210.2024.2378185,other,high
10.1080/15476910500203925,animal_in_vivo,high
10.1080/17425247.2025.2522250,other,high
10.1080/17476348.2021.1988569,other,high
10.1080/19420862.2018.1433974,animal_in_vivo,high
10.1080/22221751.2021.1899770,animal_in_vivo,high
10.1080/22221751.2023.2275598,animal_in_vivo,high
10.1086/341455,human_challenge,high
10.1086/512858,human_challenge,high
10.1086/313696,rct,high
10.1086/653621,animal_in_vivo,high
10.1089/jir.1980.1.169,non_randomized_trial,high
10.1089/jir.1984.4.535,human_challenge,high
10.1089/jir.1983.3.443,formulation_pk,high
10.1089/jir.1988.8.591,human_challenge,high
10.1089/jir.1986.6.153,human_challenge,high
10.1089/jir.2023.0193,observational,high
10.1089/jir.1990.10.497,animal_in_vivo,high
10.1089/vim.2011.0003,animal_in_vivo,high
10.1093/bjs/znab259.508,rct,high
10.1093/cid/ciq183,non_randomized_trial,high
10.1093/cid/ciaf409,rct,high
10.1093/infdis/127.4.401,human_challenge,high
10.1093/infdis/137.1.82,human_challenge,high
10.1093/infdis/133.supplement_2.a121,human_challenge,high
10.1093/infdis/138.4.531,human_challenge,high
10.1093/infdis/148.3.535,human_challenge,high
10.1093/infdis/148.3.543,human_challenge,high
10.1093/infdis/150.2.174,human_challenge,high
10.1093/infdis/150.2.181,human_challenge,high
10.1093/infdis/151.4.731,human_challenge,high
10.1093/infdis/154.1.128,rct,high
10.1093/infdis/154.3.443,human_challenge,high
10.1093/infdis/158.1.166,human_challenge,high
10.1093/infdis/160.4.700,rct,high
10.1093/infdis/166.4.776,human_challenge,high
10.1093/infdis/jir622,animal_in_vivo,high
10.1093/jac/1.suppl_4.77,other,low
10.1093/jac/dku127,animal_in_vivo,high
10.1093/oxfordjournals.aje.a114683,non_randomized_trial,high
10.1093/jac/18.supplement_b.153,human_challenge,high
10.1099/0022-1317-68-11-2831,animal_in_vivo,high
10.1099/jgv.0.001821,ex_vivo,high
10.1099/jgv.0.000758,animal_in_vivo,high
10.1101/2020.05.18.103184,in_vitro,high
10.1099/vir.0.038679-0,animal_in_vivo,high
10.1101/2020.08.19.225854,in_vitro,high
10.1101/2020.07.28.224733,in_vitro,high
10.1101/2021.04.13.21255409,rct,high
10.1101/2022.04.12.488010,animal_in_vivo,high
10.1101/2025.04.10.648177,animal_in_vivo,high
10.1101/2025.04.16.649247,animal_in_vivo,high
10.1111/irv.13035,animal_in_vivo,high
10.1124/jpet.112.196485,animal_in_vivo,high
10.1128/aac.00333-08,animal_in_vivo,high
10.1128/aac.00014-09,animal_in_vivo,high
10.1128/aac.00737-17,animal_in_vivo,high
10.1128/aac.00731-09,formulation_pk,high
10.1128/aac.01050-23,ex_vivo,medium
10.1128/aac.01664-12,animal_in_vivo,high
10.1128/aac.14.4.596,non_randomized_trial,high
10.1128/aac.15.2.269,human_challenge,high
10.1128/aac.16.5.644,formulation_pk,high
10.1128/aac.26.1.31,rct,high
10.1128/aac.32.2.224,rct,high
10.1128/aac.33.3.387,non_randomized_trial,high
10.1128/aac.24.5.713,human_challenge,high
10.1128/aac.34.11.2228,formulation_pk,high
10.1128/aac.36.4.727,human_challenge,high
10.1128/aac.38.10.2270,animal_in_vivo,high
10.1128/aac.39.11.2583,animal_in_vivo,high
10.1128/aac.39.2.290,rct,high
10.1128/aac.45.4.1216-1224.2001,animal_in_vivo,high
10.1128/aac.43.11.2642,animal_in_vivo,high
10.1128/aac.46.3.841-847.2002,animal_in_vivo,high
10.1128/aac.47.12.3907-3916.2003,human_challenge,high
10.1128/aac.47.9.2933-2937.2003,animal_in_vivo,high
10.1128/cvi.00002-10,animal_in_vivo,high
10.1128/iai.9.3.506-510.1974,human_challenge,high
10.1128/jvi.00052-20,animal_in_vivo,high
10.1128/jvi.00743-08,animal_in_vivo,high
10.1128/jvi.01327-25,animal_in_vivo,high
10.1128/jvi.01363-09,animal_in_vivo,high
10.1128/jvi.02174-08,animal_in_vivo,high
10.1128/jvi.02417-14,animal_in_vivo,high
10.1128/jvi.02453-08,animal_in_vivo,high
10.1128/jvi.03258-15,animal_in_vivo,high
10.1134/s1607672922050155,animal_in_vivo,high
10.1128/mbio.02756-21,animal_in_vivo,high
10.1134/s1990519x25060082,animal_in_vivo,high
10.1136/bmj.284.6332.1822,human_challenge,high
10.1136/bmjopen-2023-073735,non_randomized_trial,high
10.1136/ebm.5.3.80,rct,high
10.1136/thx.45.2.100,ex_vivo,high
10.1152/ajplung.00552.2020,in_vitro,high
10.1155/2013/194976,animal_in_vivo,high
10.1136/thx.46.10.706,non_randomized_trial,high
