doi,source_folder,is_relevant,studies_treatment,trial_type,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1001/archotol.1992.01880090049015,pdfs,yes,yes,rct,no,,intranasal interferon | rhinovirus | antiviral therapy | experimental infection | middle-ear dysfunction,Otologic Effects of Interferon Beta Serine in Experimental Rhinovirus Colds,Archives of Otolaryngology - Head and Neck Surgery,1992,Sperber SJ; Doyle WJ; McBride TP; Sorrentino JV; Riker DK; Hayden FG,118,9,933-936,https://doi.org/10.1001/archotol.1992.01880090049015
10.1002/adma.202008304,pdfs,yes,yes,other,no,,nasal spray formulation | SARS-CoV-2 prophylaxis | polysaccharide barrier agent | carrageenan | in vitro antiviral,Formulation of a Composite Nasal Spray Enabling Enhanced Surface Coverage and Prophylaxis of SARS‐COV‐2,Advanced Materials,2021,Richard J. A. Moakes; Scott P. Davies; Zania Stamataki; Liam M. Grover,33,26,2008304,https://doi.org/10.1002/adma.202008304
10.1001/jamainternmed.2025.4283,pdfs,yes,yes,rct,no,,azelastine|SARS-CoV-2 prophylaxis|nasal spray|antihistamine|COVID-19 prevention,Azelastine Nasal Spray for Prevention of SARS-CoV-2 Infections,JAMA Internal Medicine,2025,Thorsten Lehr; Peter Meiser; Dominik Selzer; Torben Rixecker; Frank Holzer; Ralph Mösges; Sigrun Smola; Robert Bals; Veronika Alberg; Florian Bub; Nicholas Biwank; Charlotte Dette; Lale Dastgir; Alina Kuntz; Christopher Hale; Johanna Sophie Kapp; Kathrin Litzenburger; Henning Morr; Johanna Wagner; Hacer Sahin; Nelli Schröder; Martina Seibert; Katrin Thieser; Quirin Werthner,185,11,1309,https://doi.org/10.1001/jamainternmed.2025.4283
10.1001/jamaoto.2020.5490,pdfs,yes,no,unclear,yes,protocol,povidone-iodine nasal spray | SARS-CoV-2 | viral load reduction | study protocol,"Povidone Iodine Mouthwash, Gargle, and Nasal Spray to Reduce Nasopharyngeal Viral Load in Patients With COVID-19",JAMA Otolaryngology–Head &amp; Neck Surgery,2021,Jeremy Guenezan; Magali Garcia; Deidre Strasters; Clément Jousselin; Nicolas Lévêque; Denis Frasca; Olivier Mimoz,147,4,400,https://doi.org/10.1001/jamaoto.2020.5490
10.1001/jamaoto.2020.3053,pdfs,yes,no,other,yes,,povidone-iodine | SARS-CoV-2 | in vitro | nasal antiseptic,In Vitro Efficacy of a Povidone-Iodine Nasal Antiseptic for Rapid Inactivation of SARS-CoV-2,JAMA Otolaryngology–Head &amp; Neck Surgery,2020,Samantha Frank; Seth M. Brown; Joseph A. Capriotti; Jonna B. Westover; Jesse S. Pelletier; Belachew Tessema,146,11,1054,https://doi.org/10.1001/jamaoto.2020.3053
10.1002/adma.202408294,pdfs,yes,yes,other,no,,dendritic polymers | SARS-CoV-2 inhibition | nasal spray formulation | virucidal mechanism | Syrian hamster model,Supramolecular Architectures of Dendritic Polymers Provide Irreversible Inhibitor to Block Viral Infection,Advanced Materials,2025,Ehsan Mohammadifar; Matteo Gasbarri; Mathias Dimde; Chuanxiong Nie; Heyun Wang; Tatyana L. Povolotsky; Yannic Kerkhoff; Daniel Desmecht; Sylvain Prevost; Thomas Zemb; Kai Ludwig; Francesco Stellacci; Rainer Haag,37,3,e2408294,https://doi.org/10.1002/adma.202408294
10.1002/adtp.202100059,pdfs,yes,yes,other,no,,inhaled antiviral | tamibarotene | dry powder formulation | SARS-CoV-2 | influenza | animal models,"Inhaled Dry Powder Formulation of Tamibarotene, a Broad‐Spectrum Antiviral against Respiratory Viruses Including SARS‐CoV‐2 and Influenza Virus",Advanced Therapeutics,2021,Qiuying Liao; Shuofeng Yuan; Jianli Cao; Kaiming Tang; Yingshan Qiu; Han Cong Seow; Rico Chi‐Hang Man; Zitong Shao; Yaoqiang Huang; Ronghui Liang; Jasper Fuk‐Woo Chan; Kwok‐Yung Yuen; Jenny Ka‐Wing Lam,4,7,2100059,https://doi.org/10.1002/adtp.202100059
10.1002/advs.202300656,pdfs,yes,yes,other,no,,intranasal aptamers | SARS-CoV-2 neutralization | antiviral prophylaxis and treatment | in vivo animal model,Repurposing CRISPR/Cas to Discover SARS‐CoV‐2 Detecting and Neutralizing Aptamers,Advanced Science,2023,Ju Zhang; Airu Zhu; Miao Mei; Jing Qu; Yalan Huang; Yongshi Shi; Meiying Xue; Jingfang Zhang; Renli Zhang; Bing Zhou; Xu Tan; Jincun Zhao; Yu Wang,10,22,e2300656,https://doi.org/10.1002/advs.202300656
10.1002/adma.202420563,pdfs,yes,yes,other,no,,RSV | intranasal nanoparticles | photoinduced antiviral | chiral vanadium trioxide | in vivo treatment,Photoinduced Cleavage of Respiratory Syncytial Virus by Chiral Vanadium Trioxide Nanoparticles,Advanced Materials,2025,Baimei Shi; Xinxin Xu; Maozhong Sun; Yingcai Xiong; Jianjian Ji; Aihua Qu; Hua Kuang,37,11,e2420563,https://doi.org/10.1002/adma.202420563
10.1002/alr.21038,pdfs,no,no,other,yes,,sinusitis | biofilm | animal model | antimicrobial agent,Efficacy of NVC‐422 against <i>Staphylococcus aureus</i> biofilms in a sheep biofilm model of sinusitis,International Forum of Allergy &amp; Rhinology,2012,Singhal D.; Jekle A.; Debabov D.; Wang L.; Khosrovi B.; Anderson M.; Foreman A.; Wormald PJ,2,4,309-315,https://doi.org/10.1002/alr.21038
10.1002/adma.202406348,pdfs,yes,yes,other,no,,multi-modal nasal spray | pathogen capture | prophylaxis | influenza | respiratory infection prevention,Toward a Radically Simple Multi‐Modal Nasal Spray for Preventing Respiratory Infections,Advanced Materials,2024,John Joseph; Helna Mary Baby; Joselyn Rojas Quintero; Devin Kenney; Yohannes A. Mebratu; Eshant Bhatia; Purna Shah; Kabir Swain; Dongtak Lee; Shahdeep Kaur; Xiang‐Ling Li; John Mwangi; Olivia Snapper; Remya Nair; Eli Agus; Sruthi Ranganathan; Julian Kage; Jingjing Gao; James N. Luo; Anthony Yu; Dongsung Park; Florian Douam; Yohannes Tesfaigzi; Jeffrey M. Karp; Nitin Joshi,36,46,e2406348,https://doi.org/10.1002/adma.202406348
10.1002/advs.202506764,pdfs,yes,yes,other,no,,interferon-lambda | intranasal antiviral | engineered biologics | respiratory virus prophylaxis | mucosal immunity,Computational Design and Glycoengineering of Interferon‐Lambda for Nasal Prophylaxis Against Respiratory Viruses,Advanced Science,2026,Jeongwon Yun; Seungju Yang; Jae Hyuk Kwon; Luiz Felipe Vecchietti; Ji Hyun Choi; Mi‐ra Choi; Keun Bon Ku; Hyun‐Joo Ro; Kyun‐Do Kim; Meeyoung Cha; Hyun Jung Chung; Ji Eun Oh; Ho Min Kim,13,6,e06764,https://doi.org/10.1002/advs.202506764
10.1002/alr.22975,pdfs,yes,yes,rct,no,,nasal spray | detergent virucidal | SARS-CoV-2 | saline irrigation | viral load,Pharmacokinetic‐based failure of a detergent virucidal for severe acute respiratory syndrome–coronavirus‐2 (SARS‐CoV‐2) nasal infections: A preclinical study and randomized controlled trial,International Forum of Allergy &amp; Rhinology,2022,Charles R. Esther; Kyle S. Kimura; Yu Mikami; Caitlin E. Edwards; Suman R. Das; Michael H. Freeman; Britton A. Strickland; Hunter M. Brown; Bronson C. Wessinger; Veerain C. Gupta; Kate Von Wahlde; Quanhu Sheng; Li Ching Huang; Daniel R. Bacon; Adam J. Kimple; Agathe S. Ceppe; Takafumi Kato; Raymond J. Pickles; Scott H. Randell; Ralph S. Baric; Justin H. Turner; Richard C. Boucher,12,9,1137-1147,https://doi.org/10.1002/alr.22975
10.1002/advs.202506430,pdfs,yes,yes,other,no,,TMPRSS2 inhibitor | intranasal antiviral | SARS-CoV-2 | influenza | in vivo animal model,Trypstatin as a Novel TMPRSS2 Inhibitor with Broad‐Spectrum Efficacy against Corona and Influenza Viruses,Advanced Science,2025,Jan Lawrenz; Lukas Wettstein; Armando Rodríguez Alfonso; Rayhane Nchioua; Pascal von Maltitz; Dan Pascal Jean Albers; Fabian Zech; Julie Vandeput; Lieve Naesens; Giorgio Fois; Veronika Neubauer; Nico Preising; Emilia Schmierer; Yasser Almeida‐Hernandez; Moritz Petersen; Ludger Ständker; Sebastian Wiese; Peter Braubach; Manfred Frick; Eberhard Barth; Daniel Sauter; Frank Kirchhoff; Elsa Sanchez‐Garcia; Annelies Stevaert; Jan Münch,12,25,e2506430,https://doi.org/10.1002/advs.202506430
10.1002/cbf.959,pdfs,no,no,unclear,yes,review,intranasal therapy|nasal irrigation|respiratory infection,The effect of calcitonin treatment on plasma nitric oxide levels in post‐menopausal osteoporotic patients,Cell Biochemistry and Function,2002,Nihal Taş; Aysel Aricioglu; Deniz Erbas; Serpil Özcan,20,2,103-105,https://doi.org/10.1002/cbf.959
10.1002/cti2.1443,pdfs,yes,yes,other,no,,intranasal immunomodulators | cytokine peptides | influenza A treatment | host-targeted immunotherapy | animal model,Naturally derived cytokine peptides limit virus replication and severe disease during influenza A virus infection,Clinical &amp; Translational Immunology,2023,Christopher M. Harpur; Alison C. West; Mélanie A. Le Page; Maggie Lam; Christopher Hodges; Osezua Oseghale; Andrew J. Gearing; Michelle D. Tate,12,3,e1443,https://doi.org/10.1002/cti2.1443
10.1002/bmc.4271,pdfs,yes,no,other,yes,protocol,MDT-637|RSV|bioanalytical method|nasal wash|Phase IIa,Liquid chromatographic–tandem mass spectrometry assay for the quantification of MDT‐637 in human nasal wash,Biomedical Chromatography,2018,Shane C. Karnik; Robert Cook; Steve H. Gorman; Ray Bakhtiar,32,9,e4271,https://doi.org/10.1002/bmc.4271
10.1002/jmv.1890170202,pdfs,yes,yes,rct,no,,intranasal interferon | prophylaxis | tolerance | rhinovirus | safety,Tolerance of one‐month intranasal interferon,Journal of Medical Virology,1985,Scott GM; Onwubalili JK; Robinson JA; Doré C.; Secher DS; Cantell K.,17,2,99-106,https://doi.org/10.1002/jmv.1890170202
10.1002/jmv.26514,pdfs,yes,yes,other,no,,HCoV inactivation | nasal rinse | baby shampoo | mouthwash | virucidal properties,Lowering the transmission and spread of human coronavirus,Journal of Medical Virology,2021,Craig Meyers; Richard Robison; Janice Milici; Samina Alam; David Quillen; David Goldenberg; Rena Kass,93,3,1605-1612,https://doi.org/10.1002/jmv.26514
10.1002/lary.29935,pdfs,yes,yes,rct,no,,povidone-iodine | nasal spray | SARS-CoV-2 | viral load | COVID-19,The Effect of <scp>Povidone‐Iodine</scp> Nasal Spray on Nasopharyngeal SARS‐CoV‐2 Viral Load: A Randomized Control Trial,The Laryngoscope,2022,Zarabanda D.; Vukkadala N.; Phillips KM; Qian ZJ; Mfuh KO; Hatter MJ; Lee IT; Rao VK; Hwang PH; Domb G.; Patel ZM; Pinsky BA; Nayak JV,132,11,2089-2095,https://doi.org/10.1002/lary.29935
10.1002/lary.31430,pdfs,yes,yes,rct,no,,povidone-iodine nasal spray | SARS-CoV-2 shedding | COVID-19 treatment | viral load reduction | Phase II trial,Phase <scp>II</scp> Trial of the Impact 0.5% Povidone‐Iodine Nasal Spray (Nasodine®) on Shedding of <scp>SARS‐CoV</scp>‐2,The Laryngoscope,2024,Peter L. Friedland; Simon Tucker,134,9,3947-3952,https://doi.org/10.1002/lary.31430
10.1002/smmd.20230009,pdfs,yes,yes,other,no,,siRNA swarms | HSV-1 | intranasal antiviral | animal model | therapeutic intervention,Single therapeutic dose of an antiviral UL29 siRNA swarm diminishes symptoms and viral load of mice infected intranasally with HSV‐1,Smart Medicine,2023,Tuomas Lasanen; Fanny Frejborg; Liisa M. Lund; Marie C. Nyman; Julius Orpana; Huda Habib; Salla Alaollitervo; Alesia A. Levanova; Minna M. Poranen; Veijo Hukkanen; Kiira Kalke,2,2,e20230009,https://doi.org/10.1002/smmd.20230009
10.1002/smll.202507669,pdfs,yes,yes,other,no,,lipid nanoparticles|broad-spectrum antiviral|intranasal delivery|RSV|SARS-CoV-2,Novel Wide‐Spectrum Virucidal Lipid Nanoparticles,Small,2026,Yugo Araújo Martins; Louise Bondeelle; Arnaud Charles‐Antoine Zwygart; Thais Melquiades de Lima; Juliano de Paula Souza; Han Kang Tee; Fernando Chahud; Eurico de Arruda Neto; Francesco Stellacci; Renata Fonseca Vianna Lopez; Caroline Tapparel,22,7,e07669,https://doi.org/10.1002/smll.202507669
10.1006/viro.2001.1213,pdfs,yes,yes,other,no,,antiviral nasal spray | intranasal delivery | 2-5A antisense | RSV treatment | primate model,Targeted Therapy of Respiratory Syncytial Virus in African Green Monkeys by Intranasally Administered 2-5A Antisense,Virology,2002,Douglas W. Leaman; Frank J. Longano; James R. Okicki; Kenneth F. Soike; Paul F. Torrence; Robert H. Silverman; Hagen Cramer,292,1,70-77,https://doi.org/10.1006/viro.2001.1213
10.1007/978-1-60327-547-7_16,pdfs,yes,yes,other,no,,intranasal siRNA | RSV treatment | parainfluenza | influenza | animal model,"Treating Respiratory Viral Diseases with Chemically Modified, Second Generation Intranasal siRNAs",Methods in Molecular Biology,2009,Sailen Barik,487,,1-11,https://doi.org/10.1007/978-1-60327-547-7_16
10.1007/978-1-4939-1538-5_14,pdfs,yes,yes,other,no,,intranasal siRNA | RSV | influenza | parainﬂuenza | antiviral,Therapy of Respiratory Viral Infections with Intranasal siRNAs,Methods in Molecular Biology,2015,Sailen Barik; Patrick Lu,1218,,251-262,https://doi.org/10.1007/978-1-4939-1538-5_14
10.1007/bf01310519,pdfs,yes,yes,other,no,,intranasal antiviral R61837 | drug resistance | rhinovirus treatment | experimental trial,Drug resistant rhinoviruses from the nose of experimentally treated volunteers,Archives of Virology,1989,Dearden C.; al-Nakib W.; Andries K.; Woestenborghs R.; Tyrrell DA,109,1-2,71-81,https://doi.org/10.1007/bf01310519
