doi,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1001/archgenpsychiatry.2011.1508,"A randomized controlled trial of risperidone, lithium, or divalproex sodium for initial treatment of bipolar I disorder, manic or mixed phase, in children and adolescents.",Archives of general psychiatry,2012,Geller B.; Luby JL; Joshi P.; Wagner KD; Emslie G.; Walkup JT; Axelson DA; Bolhofner K.; Robb A.; Wolf DV; Riddle MA; Birmaher B.; Nusrat N.; Ryan ND; Vitiello B.; Tillman R.; Lavori P.,69,5,515-28,https://doi.org/10.1001--archgenpsychiatry.2011.1508
10.1001/archpsyc.1975.01760230125010,Double-blind comparison of lithium carbonate and imipramine in treatment of depression.,Archives of general psychiatry,1975,Watanabe S.; Ishino H.; Otsuki S.,32,5,659-68,https://doi.org/10.1001--archpsyc.1975.01760230125010
10.1001/archpsyc.1975.01760280108010,Comparison of efficacy of lithium carbonate and chlorpromazine in mania. Report of collaborative study group on treatment of mania in Japan.,Archives of general psychiatry,1975,Takahashi R.; Sakuma A.; Itoh K.; Itoh H.; Kurihara M.,32,10,1310-8,https://doi.org/10.1001--archpsyc.1975.01760280108010
10.1001/archpsyc.1984.01790180020002,Behavioral efficacy of haloperidol and lithium carbonate. A comparison in hospitalized aggressive children with conduct disorder.,Archives of general psychiatry,1984,Campbell M.; Small AM; Green WH; Jennings SJ; Perry R.; Bennett WG; Anderson L.,41,7,650-6,https://doi.org/10.1001--archpsyc.1984.01790180020002
10.1001/archpsyc.57.7.649,A double-blind placebo-controlled study of lithium in hospitalized aggressive children and adolescents with conduct disorder.,Archives of general psychiatry,2000,Malone RP; Delaney MA; Luebbert JF; Cater J.; Campbell M.,57,7,649-54,https://doi.org/10.1001--archpsyc.57.7.649
10.1001/archpsyc.59.1.62,Efficacy of olanzapine in combination with valproate or lithium in the treatment of mania in patients partially nonresponsive to valproate or lithium monotherapy.,Archives of general psychiatry,2002,Tohen M.; Chengappa KN; Suppes T.; Zarate CA Jr; Calabrese JR; Bowden CL; Sachs GS; Kupfer DJ; Baker RW; Risser RC; Keeter EL; Feldman PD; Tollefson GD; Breier A.,59,1,62-9,https://doi.org/10.1001--archpsyc.59.1.62
10.1002/brb3.2394,"The efficacy of vitamin B6 as an adjunctive therapy to lithium in improving the symptoms of acute mania in patients with bipolar disorder, type 1; a double-blind, randomized, placebo-controlled, clinical trial.",Brain and behavior,2021,Badrfam R.; Mostafavi SA; Khaleghi A.; Akhondzadeh S.; Zandifar A.; Farid M.; Mohammadian Khonsari N.; Mohammadi MR,11,11,e2394,https://doi.org/10.1002--brb3.2394
10.1002/da.22136,"Maintenance treatment with quetiapine when combined with either lithium or divalproex in bipolar I disorder: analysis of two large randomized, placebo-controlled trials.",Depression and anxiety,2013,Suppes T.; Vieta E.; Gustafsson U.; Ekholm B.,30,11,1089-98,https://doi.org/10.1002--da.22136
10.1002/da.22340,"Pioglitazone adjunctive therapy for depressive episode of bipolar disorder: a randomized, double-blind, placebo-controlled trial.",Depression and anxiety,2015,Zeinoddini A.; Sorayani M.; Hassanzadeh E.; Arbabi M.; Farokhnia M.; Salimi S.; Ghaleiha A.; Akhondzadeh S.,32,3,167-73,https://doi.org/10.1002--da.22340
10.1007/bf02916252,,,,,,,,
