doi,drug_class,drug_name,confidence
10.1001/amajethics.2021.590,other,unspecified,low
10.1001/amaguidesnewsletters.2002.janfeb02,psychological,cognitive and behavioral interventions,medium
10.1001/archfami.2.2.181,supplement,megavitamin/mineral supplements,high
10.1001/amajethics.2021.537,other,unspecified,low
10.1001/archinte.152.8.1604,other,none,high
10.1001/amajethics.2021.519,other,unspecified,low
10.1001/archfami.8.6.495,other,none,high
10.1001/amaguidesnewsletters.1998.mayjun03,other,none,high
10.1001/archgenpsychiatry.2008.508,other,none,high
10.1001/amaguidesnewsletters.1999.novdec04,other,not applicable,high
10.1001/archinte.153.5.661a,other,none,high
10.1001/archinte.155.12.1332,other,none,high
10.1001/archinte.157.22.2663,other,unspecified,high
10.1001/archinte.159.20.2481,other,unspecified,low
10.1001/archinte.160.2.221,other,none,high
10.1001/archinte.159.18.2129,other,none,high
10.1001/archinte.160.21.3270,exercise,graded exercise test (bicycle ergometer),high
10.1001/archinte.163.13.1530,other,none,high
10.1001/archinte.164.20.2241,other,none,high
10.1001/archinte.164.4.401,other,none,high
10.1001/archinte.163.15.1832,other,none,high
10.1001/archinte.160.22.3461,other,isoproterenol hydrochloride,high
10.1001/archinte.158.8.908,anti-inflammatory,fludrocortisone acetate,high
10.1001/archinte.164.10.1098,other,unspecified,high
10.1001/archinte.157.11.1264,other,amantadine hydrochloride,high
10.1001/archinte.166.15.1649,other,not applicable,high
10.1001/archinte.1990.00390170140036,other,unspecified,low
10.1001/archneur.1993.00540030065016,other,none,high
10.1001/archneur.1994.00540190089021,other,none,high
10.1001/archinte.1992.00400200042008,other,none,high
10.1001/archpediatrics.2010.145,other,regular care,low
10.1001/archpedi.162.12.1196,other,not applicable,high
10.1001/archpedi.158.3.225,other,none,high
10.1001/archpediatrics.2010.144,other,none,high
10.1001/archneur.1997.00550230045015,other,not applicable,high
10.1001/archneur.1996.00550070080014,other,unspecified,high
10.1001/archpediatrics.2010.157,other,none,high
10.1001/archpsyc.63.11.1258,other,none,high
10.1001/archpsyc.63.11.1267,other,none,high
10.1001/archpediatrics.2011.124,other,not applicable,high
10.1001/jama.1989.03420090041019,other,unspecified,high
10.1001/jama.1991.03460030063028,other,unspecified,low
10.1001/jama.1988.03720060014020,other,cocaine,low
10.1001/jama.1989.03420050044020,other,unspecified,low
10.1001/jama.1991.03460080032011,other,unspecified,low
10.1001/jama.1992.03490070051036,other,laboratory testing panel,low
10.1001/jama.1993.03510100027010,other,unspecified,low
10.1001/jama.1996.03530290029024,other,unspecified,low
10.1001/jama.1997.03550200085043,other,unspecified,low
10.1001/jama.1997.03550060098046,other,unspecified,low
10.1001/jama.2010.1421,other,unspecified,low
10.1001/archpediatrics.2010.149,other,unspecified,low
10.1001/jama.2011.1576,other,unspecified,low
10.1001/jama.2015.1346,other,none,high
10.1001/jama.2015.5731,other,unspecified,low
10.1001/jama.2015.5760,other,unspecified,low
10.1001/jama.1996.03530290029023,other,"fludrocortisone, beta-blockers, disopyramide",medium
10.1001/jama.2019.8312,other,unspecified,high
10.1001/jama.268.7.873,other,commercial laboratory testing panel,low
10.1001/jama.265.8.964,other,none,low
10.1001/jama.2024.3603,other,unspecified,low
10.1001/jama.2019.8890,other,unspecified,low
10.1001/jama.280.12.1061,anti-inflammatory,hydrocortisone,high
10.1001/jama.280.3.264,other,unspecified,high
10.1001/jama.280.4.372,other,unspecified,low
10.1001/jama.286.11.1360,other,multiple interventions,high
10.1001/jama.286.11.1378,rehabilitation,graded exercise therapy,high
10.1001/jama.286.24.3078-a,other,unspecified,low
10.1001/jama.292.10.1234,other,unspecified,low
10.1001/jama.289.11.1385-a,other,unspecified,low
10.1001/jama.292.22.2723-a,other,unspecified,low
10.1001/jamanetworkopen.2022.33454,other,none,high
10.1001/jamanetworkopen.2024.23555,other,none,high
10.1001/jama.285.1.52,other,fludrocortisone acetate,high
10.1001/jamaoto.2020.0530,other,unspecified,high
10.1001/jamapediatrics.2013.3337,other,unspecified,low
10.1002/(sici)1097-4679(199711)53:7<635::aid-jclp1>3.0.co;2-h,other,none,high
10.1002/(sici)1097-4679(199904)55:4<411::aid-jclp6>3.0.co;2-n,other,unspecified,high
10.1002/(sici)1099-1077(199605)11:3<161::aid-hup784>3.0.co;2-5,other,unspecified,high
10.1002/(sici)1096-9071(199609)50:1<25::aid-jmv6>3.0.co;2-v,other,viral serology testing,low
10.1001/jama.292.10.1195,other,galantamine hydrobromide,high
10.1002/(sici)1097-4598(199605)19:5<621::aid-mus10>3.0.co;2-q,other,none - observational study,high
10.1002/(sici)1099-1077(199901)14:1<7::aid-hup64>3.0.co;2-o,other,unspecified,high
10.1002/14651858.cd001027,psychological,cognitive behaviour therapy,high
10.1002/1097-4679(200012)56:12<1497::aid-2>3.0.co;2-z,other,none,high
10.1002/14651858.cd001027.pub2,psychological,cognitive behaviour therapy,high
10.1001/jamapediatrics.2013.4647,other,clonidine hydrochloride,high
10.1002/14651858.cd003200.pub9,exercise,aerobic exercise therapy,high
10.1002/14651858.cd006348.pub3,other,traditional chinese medicinal herbs,low
10.1002/14651858.cd006348.pub2,other,traditional chinese medicinal herbs,low
10.1002/14651858.cd011040.pub2,exercise,exercise therapy,high
10.1002/1520-6629(199504)23:2<143::aid-jcop2290230205>3.0.co;2-7,other,unspecified,low
10.1002/14651858.cd006348,other,traditional chinese medicine herbal products,high
10.1002/1520-6629(199310)21:4<339::aid-jcop2290210410>3.0.co;2-1,other,unspecified,high
10.1002/9780470514382.ch11,other,none,high
10.1002/9780470514382.ch14,psychological,cognitive-behavioural therapy,medium
10.1002/9780470514382.ch13,other,unspecified,high
10.1002/9780470514382.ch10,other,none,high
