doi,organism,indication,confidence
10.1001/amaguidesnewsletters.1998.mayjun03,human,not_applicable,high
10.1001/amaguidesnewsletters.2002.janfeb02,human,not_applicable,high
10.1001/amaguidesnewsletters.1999.novdec04,other,not_applicable,high
10.1001/archfami.8.6.495,human,not_applicable,high
10.1001/archinte.152.8.1604,human,not_applicable,high
10.1001/archgenpsychiatry.2008.508,human,not_applicable,high
10.1001/amajethics.2021.537,other,not_applicable,high
10.1001/archfami.2.2.181,human,treatment,high
10.1001/amajethics.2021.590,human,not_applicable,high
10.1001/archinte.157.11.1264,human,treatment,high
10.1001/archinte.155.12.1332,human,not_applicable,high
10.1001/archinte.153.5.661a,human,not_applicable,high
10.1001/archinte.158.8.908,human,treatment,high
10.1001/amajethics.2021.519,unclear,not_applicable,high
10.1001/archinte.159.18.2129,human,not_applicable,high
10.1001/archinte.160.2.221,human,not_applicable,high
10.1001/archinte.159.20.2481,unclear,unclear,low
10.1001/archinte.160.21.3270,human,not_applicable,high
10.1001/archinte.160.22.3461,human,not_applicable,high
10.1001/archinte.163.13.1530,human,not_applicable,high
10.1001/archinte.157.22.2663,unclear,not_applicable,high
10.1001/archinte.163.15.1832,human,not_applicable,high
10.1001/archinte.166.15.1649,human,not_applicable,high
10.1001/archinte.164.20.2241,human,not_applicable,high
10.1001/archinte.164.4.401,human,not_applicable,high
10.1001/archinte.164.10.1098,human,treatment,high
10.1001/archinte.1992.00400200042008,human,not_applicable,high
10.1001/archinte.1990.00390170140036,human,not_applicable,high
10.1001/archneur.1994.00540190089021,human,not_applicable,high
10.1001/archneur.1993.00540030065016,human,not_applicable,high
10.1001/archneur.1996.00550070080014,human,not_applicable,high
10.1001/archpedi.158.3.225,human,not_applicable,high
10.1001/archneur.1997.00550230045015,human,not_applicable,high
10.1001/archpedi.162.12.1196,human,not_applicable,high
10.1001/archpediatrics.2010.145,human,treatment,high
10.1001/archpediatrics.2010.144,human,not_applicable,high
10.1001/archpediatrics.2010.157,human,not_applicable,high
10.1001/archpediatrics.2011.124,human,not_applicable,high
10.1001/archpsyc.63.11.1258,human,prevention,high
10.1001/archpediatrics.2010.149,unclear,unclear,low
10.1001/jama.1989.03420090041019,human,not_applicable,high
10.1001/archpsyc.63.11.1267,human,not_applicable,high
10.1001/jama.1993.03510100027010,unclear,not_applicable,high
10.1001/jama.1991.03460030063028,human,not_applicable,high
10.1001/jama.1991.03460080032011,human,not_applicable,high
10.1001/jama.1996.03530290029024,human,treatment,medium
10.1001/jama.1992.03490070051036,other,not_applicable,high
10.1001/jama.1988.03720060014020,unclear,not_applicable,high
