doi,study_design,confidence
10.1001/amaguidesnewsletters.2002.janfeb02,other,high
10.1001/archfami.2.2.181,other,high
10.1001/amaguidesnewsletters.1998.mayjun03,other,high
10.1001/amajethics.2021.590,other,high
10.1001/amaguidesnewsletters.1999.novdec04,other,high
10.1001/amajethics.2021.519,other,high
10.1001/archinte.152.8.1604,observational,high
10.1001/archfami.8.6.495,observational,high
10.1001/amajethics.2021.537,other,high
10.1001/archinte.155.12.1332,other,low
10.1001/archgenpsychiatry.2008.508,observational,high
10.1001/archinte.153.5.661a,case_series,high
10.1001/archinte.157.11.1264,case_series,high
10.1001/archinte.159.18.2129,observational,high
10.1001/archinte.157.22.2663,other,high
10.1001/archinte.160.2.221,observational,high
10.1001/archinte.158.8.908,crossover,high
10.1001/archinte.159.20.2481,unclear,high
10.1001/archinte.160.22.3461,observational,high
10.1001/archinte.163.13.1530,observational,high
10.1001/archinte.164.10.1098,other,high
10.1001/archinte.164.4.401,observational,high
10.1001/archinte.1990.00390170140036,other,low
10.1001/archinte.1992.00400200042008,observational,high
10.1001/archinte.166.15.1649,observational,high
10.1001/archinte.164.20.2241,observational,high
10.1001/archinte.160.21.3270,observational,high
10.1001/archneur.1994.00540190089021,observational,high
10.1001/archpedi.158.3.225,observational,high
10.1001/archneur.1997.00550230045015,observational,high
10.1001/archpedi.162.12.1196,observational,medium
10.1001/archinte.163.15.1832,observational,high
10.1001/archneur.1993.00540030065016,observational,high
10.1001/archneur.1996.00550070080014,observational,high
10.1001/archpediatrics.2010.145,observational,high
10.1001/archpediatrics.2010.149,unclear,low
10.1001/archpediatrics.2011.124,observational,high
10.1001/archpediatrics.2010.157,observational,high
10.1001/archpsyc.63.11.1267,observational,high
10.1001/jama.1988.03720060014020,other,high
10.1001/jama.1989.03420050044020,other,high
10.1001/jama.1991.03460030063028,case_series,high
10.1001/jama.1989.03420090041019,observational,medium
10.1001/jama.1991.03460080032011,other,high
10.1001/jama.1993.03510100027010,other,high
10.1001/archpediatrics.2010.144,observational,high
10.1001/jama.1996.03530290029024,other,high
10.1001/jama.1997.03550060098046,other,high
10.1001/jama.1997.03550200085043,case_series,high
10.1001/jama.1992.03490070051036,other,high
10.1001/jama.2019.8312,other,high
10.1001/jama.2015.5760,other,high
