doi,source_folder,is_relevant,studies_treatment,trial_type,phase,is_excluded,exclusion_reason,topics
10.1007/bf02688668,converted,yes,yes,case_series,not_applicable,no,,glyconutrients | immune function | NK cells | in vitro study | CFS immunology
10.1002/cpp.2417,converted,yes,yes,rct,not_applicable,no,,CBT | depression screening | linguistic analysis | adolescents
10.1006/exmp.1999.2248,converted,no,no,other,not_applicable,yes,,virology|cytomegalovirus|stealth virus
10.1007/s11011-012-9316-8,converted,yes,no,cross_sectional,not_applicable,yes,review,ME/CFS | autoimmunity | biomarkers | IgM antibodies | oxidative stress
10.1002/jmv.23713,converted,yes,yes,rct,phase_2,no,,valganciclovir | HHV-6 | EBV | antiviral | immunomodulation
10.1016/j.bbih.2023.100627,converted,yes,no,observational_cohort,not_applicable,no,,ME/CFS pathophysiology | gut barrier function | microbial translocation | immune response | biomarker study
10.1016/j.bbr.2009.04.005,converted,no,no,other,not_applicable,yes,,animal_model|fatigue|antioxidant|botanical
10.1016/j.brainresbull.2011.06.007,converted,no,no,other,not_applicable,yes,,animal_model|preclinical|oxidative_stress
10.1016/j.brat.2006.08.019,converted,yes,yes,rct,not_applicable,no,,cognitive-behaviour therapy|chronic fatigue syndrome|RCT outcomes|clinical practice comparison
10.1016/j.cca.2012.06.022,converted,yes,no,cross_sectional,not_applicable,yes,,metabolomics|biomarkers|amino acid metabolism|ME/CFS pathophysiology
10.1016/j.chom.2023.01.004,converted,yes,no,observational_cohort,not_applicable,yes,secondary_analysis,gut microbiome|butyrate production|dysbiosis|biomarker discovery
10.1016/j.cdtm.2019.05.003,converted,yes,no,cross_sectional,not_applicable,yes,review,symptom measurement | functional disorders | CFS/ME | questionnaire development
10.1016/j.jad.2005.03.013,converted,yes,no,cross_sectional,not_applicable,yes,,HPA axis | cortisol | biomarker | neuroendocrine | observational study
10.1016/j.jep.2003.10.006,converted,yes,yes,cross_sectional,not_applicable,no,,herbal medicine | cytokine production | immune dysfunction | traditional Oriental medicine
10.1016/j.jad.2008.05.001,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS | HPA axis | dexamethasone suppression test | cortisol | neuroendocrinology
