doi,source_folder,is_relevant,studies_treatment,trial_type,phase,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1002/bit.26983,converted,no,no,other,not_applicable,yes,,protein engineering|enzyme optimization|molecular dynamics simulation,,,,,,,,
10.1002/fsn3.1157,converted,yes,no,other,not_applicable,yes,review,nattokinase|molecular mechanisms|proteomics|cardiovascular disease,Study on molecular mechanisms of nattokinase in pharmacological action based on label‐free liquid chromatography–tandem mass spectrometry,Food Science &amp; Nutrition,2019,Xia Pan; Pengyu Liang; Luyao Teng; Yuhao Ren; Jixian Peng; Weizhi Liu; Yan Yang,7,10,3185-3193,https://doi.org/10.1002/fsn3.1157
10.1002/fsn3.2378,converted,no,no,other,not_applicable,yes,,nattokinase|microencapsulation|spray drying|pharmaceutical processing|stability,,,,,,,,
10.1002/fsn3.2051,converted,yes,yes,other,not_applicable,no,,nattokinase | hypercholesterolemia | functional foods | lipid-lowering | animal study,"Functional food mixtures: Inhibition of lipid peroxidation, HMGCoA reductase, and ACAT2 in hypercholesterolemia‐induced rats",Food Science &amp; Nutrition,2021,Noor Syafiqa Aqila Mohd Rosmi; Nurul Husna Shafie; Azrina Azlan; Maizaton Atmadini Abdullah,9,2,875-887,https://doi.org/10.1002/fsn3.2051
10.1002/fsn3.71031,converted,no,no,other,not_applicable,yes,review,probiotic|Bacillus|in vitro assessment,,,,,,,,
10.1002/jbm.a.36232,converted,no,no,other,not_applicable,yes,review,nattokinase | drug delivery | nanocomposites | in vitro thrombolysis,,,,,,,,
10.1002/jbm.a.36703,converted,no,no,other,not_applicable,yes,,nanotechnology|drug delivery|in vitro study|preclinical,,,,,,,,
10.1002/jbm.a.36375,converted,no,no,other,not_applicable,yes,,nattokinase|drug delivery|nanocomposites|thrombolysis|materials science,,,,,,,,
10.1002/pat.4677,converted,no,no,other,not_applicable,yes,,nattokinase | drug delivery | polymer carrier | in vitro | preclinical,,,,,,,,
10.1006/bbrc.1993.2624,converted,no,no,other,not_applicable,yes,review,nattokinase purification | enzyme characterization | biochemistry | not a clinical trial,,,,,,,,
10.1007/s00105-025-05504-1,converted,no,no,other,not_applicable,yes,review,novel foods | allergies | nattokinase allergy | dermatology,,,,,,,,
10.1007/s00203-023-03713-7,converted,no,no,other,not_applicable,yes,review,microbial proteases | nattokinase | review article,,,,,,,,
10.1007/bf01956052,converted,no,no,other,not_applicable,yes,review,nattokinase|fibrinolytic enzyme|biochemistry|in vitro,,,,,,,,
10.1007/978-981-13-7709-9_15,converted,no,no,other,not_applicable,yes,review,fibrinolytic enzymes | thrombolytic therapy | cardiovascular disease | nattokinase overview,,,,,,,,
10.1007/s00253-005-0159-7,converted,no,no,other,not_applicable,yes,review,fibrinolytic enzymes | nattokinase | thrombolytic therapy | mini-review,,,,,,,,
10.1007/s00253-006-0809-4,converted,no,no,other,not_applicable,yes,,nattokinase expression | lactococcus lactis | biotechnology | enzyme production,,,,,,,,
10.1007/s00253-019-09804-0,converted,no,no,other,not_applicable,yes,,biotechnology | fermentation | bacitracin production | soybean meal | bacterial strain engineering,,,,,,,,
10.1007/s00253-019-10044-5,converted,no,no,other,not_applicable,yes,,vitamin K2 production | Bacillus subtilis fermentation | biotechnology,,,,,,,,
10.1007/s00449-005-0032-1,converted,no,no,other,not_applicable,yes,,protein purification|bioprocess engineering|nattokinase extraction,,,,,,,,
10.1007/s00253-006-0484-5,converted,no,no,other,not_applicable,yes,,nattokinase purification | protein separation | magnetic beads | bioengineering,,,,,,,,
10.1007/s00449-011-0527-x,converted,no,no,other,not_applicable,yes,,fermentation|bioprocess engineering|nattokinase production,,,,,,,,
10.1007/s00449-012-0760-y,converted,no,no,other,not_applicable,yes,,nattokinase production | metabolic engineering | Bacillus subtilis fermentation | enzyme production optimization,,,,,,,,
10.1007/s00449-025-03151-3,converted,no,no,other,not_applicable,yes,,nattokinase production | fermentation optimization | Bacillus subtilis | bioprocess engineering,,,,,,,,
10.1007/s00894-019-4225-y,converted,no,no,other,not_applicable,yes,protocol,computational mutagenesis | protein engineering | immunogenicity reduction | in silico analysis,,,,,,,,
10.1007/s10068-019-00580-1,converted,yes,yes,other,not_applicable,no,,nattokinase|anti-thrombotic|animal model|safety|hemorrhage,Comparative anti-thrombotic activity and haemorrhagic adverse effect of nattokinase and tissue-type plasminogen activator,Food Science and Biotechnology,2019,Haiyu Guo; Young-Hwan Ban; Yeseul Cha; Eun Suk An; Jieun Choi; Da Woom Seo; Dongsun Park; Ehn-Kyoung Choi; Yun-Bae Kim,28,5,1535-1542,https://doi.org/10.1007/s10068-019-00580-1
10.1007/s10295-014-1559-4,converted,no,no,other,not_applicable,yes,,nattokinase production | genetic engineering | Bacillus licheniformis | recombinant expression | fermentation,,,,,,,,
10.1007/s10529-006-9126-3,converted,no,no,other,not_applicable,yes,,nattokinase production | recombinant protein | Bacillus subtilis | fermentation | biotechnology,,,,,,,,
10.1007/s10295-019-02229-8,converted,no,no,other,not_applicable,yes,,microbiology|genetic engineering|protein production,,,,,,,,
10.1007/s10482-025-02198-2,converted,no,no,other,not_applicable,yes,,nattokinase production | fermentation optimization | in vitro enzyme characterization,,,,,,,,
10.1007/s10529-007-9426-2,converted,no,no,other,not_applicable,yes,,preclinical|protein expression|recombinant enzyme,,,,,,,,
10.1007/s10529-022-03226-1,converted,no,no,other,not_applicable,yes,,nattokinase production | genomic analysis | bacterial fermentation | enzyme characterization,,,,,,,,
10.1007/s10529-020-02941-x,converted,no,no,other,not_applicable,yes,,nattokinase fermentation | poly-glutamic acid production | Bacillus subtilis | enzyme inhibition | biotechnology,,,,,,,,
10.1007/s10529-020-02974-2,converted,no,no,other,not_applicable,yes,,nattokinase|in vitro|food-grade expression|preclinical,,,,,,,,
10.1007/s10719-015-9620-8,converted,no,no,other,not_applicable,yes,review,nattokinase biochemistry | heparin binding | in vitro study | mechanistic research,,,,,,,,
10.1007/s10719-019-09860-8,converted,yes,yes,other,not_applicable,no,,nattokinase|anticoagulation|hemodialysis|fibrinolysis|CKD,Nattokinase-heparin exhibits beneficial efficacy and safety—an optimal strategy for CKD patients on hemodialysis,Glycoconjugate Journal,2019,Hao Wu; Huan Wang; Wei Li; Chi Zhang; Yushan Liu; Feng Xu; Jiepeng Chen; Lili Duan; Fengjiao Zhang,36,2,93-101,https://doi.org/10.1007/s10719-019-09860-8
10.1007/s10930-020-09897-x,converted,no,no,other,not_applicable,yes,review,molecular_characterization|enzyme_biochemistry|fibrinolytic_proteins|in_vitro_study,,,,,,,,
10.1007/s10930-021-10023-8,converted,no,no,other,not_applicable,yes,review,nattokinase|fibrinolytic enzyme|production optimization|in vitro studies,,,,,,,,
10.1007/s10787-017-0381-9,converted,no,no,other,not_applicable,yes,,Alzheimer's disease | nanonutraceuticals | fermented soybean | animal model | neuroprotection,,,,,,,,
10.1007/s11033-020-05898-2,converted,no,no,other,not_applicable,yes,,molecular_analysis|serine_protease|bioinformatics|enzyme_characterization|fermented_food,,,,,,,,
10.1007/s11239-009-0333-3,converted,no,no,other,not_applicable,yes,,fibrinolytic enzyme | thrombosis model | Subtilisin QK | animal study,,,,,,,,
10.1007/s11130-023-01130-1,converted,no,no,not_applicable,not_applicable,yes,review,fermented soy|nattokinase|cardiovascular disease|review article,,,,,,,,
10.1007/s11274-010-0432-5,converted,no,no,other,not_applicable,yes,,nattokinase production | molecular biology | promoter engineering | Bacillus subtilis,,,,,,,,
10.1007/s11239-025-03220-0,converted,no,no,other,not_applicable,yes,,amyloid microclots | ultrasound thrombolysis | fibrinolytic enzymes | in vitro study | Long COVID,,,,,,,,
10.1007/s11274-018-2520-x,converted,no,no,other,not_applicable,yes,,microbiology|protein production|genetic engineering|Bacillus licheniformis,,,,,,,,
10.1007/s11274-022-03452-9,converted,no,no,other,not_applicable,yes,,nattokinase|colitis|probiotics|gut microbiome|preclinical,,,,,,,,
10.1007/s11274-023-03560-0,converted,no,no,other,not_applicable,yes,,metabolic engineering|nattokinase production|Bacillus licheniformis,,,,,,,,
10.1007/s11356-022-21126-9,converted,no,yes,other,not_applicable,yes,,nattokinase | hepatotoxicity | neurotoxicity | animal model | rat study,,,,,,,,
10.1007/s11274-017-2253-2,converted,no,no,not_applicable,not_applicable,yes,review,nattokinase production | microbial biotechnology | fermentation | protein engineering,,,,,,,,
10.1007/s11859-014-1006-4,converted,no,no,other,not_applicable,yes,,protein engineering|enzyme thermostability|site-directed mutagenesis|nattokinase characterization,,,,,,,,
10.1007/s12010-012-9894-2,converted,no,no,other,not_applicable,yes,,nattokinase production | fermentation | encapsulation | biochemistry,,,,,,,,
10.1007/s12033-007-0060-y,converted,no,no,other,not_applicable,yes,,biotechnology|protein_expression|molecular_biology,,,,,,,,
10.1007/s12602-017-9382-7,converted,no,no,other,not_applicable,yes,,microbiology|fermentation|enzyme purification|Bacillus subtilis,,,,,,,,
10.1007/s12602-021-09831-2,converted,no,no,other,not_applicable,yes,,nattokinase production | fermentation | strain isolation | acetoin byproduct,,,,,,,,
10.1007/s13197-020-04478-3,converted,no,no,other,not_applicable,yes,,food science | fermentation | natto production,,,,,,,,
10.1007/s13213-018-1372-9,converted,no,no,other,not_applicable,yes,,fermentation | nattokinase production | menaquinone-7 | Bacillus subtilis,,,,,,,,
10.1007/s13749-013-0032-8,converted,no,no,other,not_applicable,yes,,nattokinase production | fermentation optimization | enzyme characterization | biotechnology,,,,,,,,
10.1016/j.actbio.2016.04.041,converted,no,no,other,not_applicable,yes,,tissue engineering | hydrogel scaffold | fibrin | hyaluronic acid,,,,,,,,
10.1016/j.ajps.2015.04.005,converted,no,no,other,not_applicable,yes,protocol,drug delivery system | pharmaceutical formulation | nattokinase encapsulation,,,,,,,,
10.1016/j.ajps.2017.11.001,converted,yes,no,other,not_applicable,yes,protocol,nattokinase|toxicity|formulation|preclinical|in vitro,Preparation and toxicity evaluation of a novel nattokinase-tauroursodeoxycholate complex,Asian Journal of Pharmaceutical Sciences,2018,Rui Feng; Jing Li; Jiepeng Chen; Lili Duan; XinRong Liu; Donghua Di; Yihui Deng; Yanzhi Song,13,2,173-182,https://doi.org/10.1016/j.ajps.2017.11.001
10.1016/j.alit.2017.03.007,converted,no,no,other,not_applicable,yes,,nattokinase|nasal-polyps|chronic-rhinosinusitis|in-vitro,,,,,,,,
10.1016/j.arabjc.2023.105478,converted,no,no,other,not_applicable,yes,,cancer|nattokinase|in vitro|chemotherapy|apoptosis,,,,,,,,
10.1016/j.bbapap.2009.07.007,converted,no,no,other,not_applicable,yes,,protein engineering | mutagenesis | enzyme stability | nattokinase characterization,,,,,,,,
10.1016/j.bbrc.2015.08.063,converted,no,no,other,not_applicable,yes,,protein engineering|enzyme kinetics|molecular dynamics|site-directed mutagenesis|nattokinase optimization,,,,,,,,
10.1016/j.biortech.2008.03.018,converted,no,no,other,not_applicable,yes,protocol,nattokinase production|fermentation optimization|bioprocess engineering,,,,,,,,
10.1016/j.biortech.2009.06.057,converted,no,no,other,not_applicable,yes,,nattokinase purification|enzyme immobilization|nanotechnology|biotechnology,,,,,,,,
10.1016/j.biortech.2010.05.066,converted,no,no,other,not_applicable,yes,,enzyme purification | keratinase | bacterial protease | feather degradation,,,,,,,,
10.1016/j.cca.2003.11.008,converted,no,no,other,not_applicable,yes,,enzyme purification | fibrinolytic activity | Bacillus subtilis | biochemistry | preclinical,,,,,,,,
