doi,drug_class,drug_name,confidence
10.1001/archinte.156.20.2386b,other_pharmacological,orphenadrine citrate,high
10.1001/archinte.156.20.2386c,other,unspecified,high
10.1001/archinte.160.14.2137,other,none,high
10.1002/14651858.cd005504.pub2,levodopa,levodopa,high
10.1001/archneur.61.9.1393,dopamine_agonist,dopamine agonists,high
10.1001/archneur.1982.00510230065027,levodopa,levodopa/benserazide,high
10.1001/archneur.1990.00530110083021,levodopa,levodopa/benserazide,high
10.1001/archneur.57.5.729,dopamine_agonist,pramipexole,high
10.1002/14651858.cd006941.pub2,opioid,oxycodone/naloxone,high
10.1002/ajh.27290,iron,ferrous sulfate and ferumoxytol,high
10.1002/1531-8257(199901)14:1<138::aid-mds1023>3.0.co;2-a,dopamine_agonist,ropinirole,high
10.1002/1531-8257(200003)15:2<324::aid-mds1020>3.0.co;2-4,other_pharmacological,amantadine,high
10.1002/ajh.23820,iron,iron dextran (low molecular weight),high
10.1002/ccr3.1619,non_pharmacological,acupuncture point injection,high
10.1002/ana.23565,dopamine_agonist,pramipexole,high
10.1002/ana.410240318,dopamine_agonist,bromocriptine,high
10.1002/cca.2515,iron,intravenous iron and ferrous sulfate,high
10.1002/ccr3.2144,other_pharmacological,bryophyllum pinnatum,high
10.1002/jgf2.338,dopamine_agonist,pramipexole,high
10.1002/mdc3.12039,dopamine_agonist,apomorphine,high
10.1002/mdc3.12299,levodopa,levodopa/carbidopa,high
10.1002/mdc3.12594,opioid,tramadol,high
10.1002/mds.10503,levodopa,levodopa/benserazide,high
10.1002/mds.10080,levodopa,entacapone,high
10.1002/mds.10231,non_pharmacological,kidney transplantation,high
10.1002/dat.20348,alpha2delta_ligand,gabapentin,high
10.1002/mdc3.13833,non_pharmacological,aerobic exercise and stretching exercise,high
10.1002/mds.1141,dopamine_agonist,alpha-dihydroergocryptine,high
10.1002/mds.1214.abs,opioid,opioids,high
10.1002/mds.1214,opioid,opioids,high
10.1002/mds.1104,dopamine_agonist,piribedil,high
10.1002/mds.20219,other_pharmacological,l-thyroxine,high
10.1002/mds.20251,dopamine_agonist,rotigotine,high
10.1002/mds.20257,dopamine_agonist,ropinirole,high
10.1002/mds.20677,levodopa,levodopa,high
10.1002/mds.20359,opioid,methadone,high
10.1002/mds.20349,non_pharmacological,deep brain stimulation,high
10.1002/mds.20911,non_pharmacological,subthalamic nucleus deep brain stimulation,high
