doi,organism,indication,confidence
10.1001/archneur.57.5.729,human,treatment,high
10.1001/archneur.1982.00510230065027,human,treatment,high
10.1001/archneur.61.9.1393,human,treatment,high
10.1001/archneur.1990.00530110083021,human,treatment,high
10.1002/14651858.cd005504.pub2,human,treatment,high
10.1002/1531-8257(199901)14:1<138::aid-mds1023>3.0.co;2-a,human,treatment,high
10.1002/1531-8257(200003)15:2<324::aid-mds1020>3.0.co;2-4,human,treatment,high
10.1002/14651858.cd006941.pub2,human,treatment,high
10.1002/ajh.23820,human,treatment,high
10.1002/ajh.27290,human,treatment,high
10.1002/ana.23565,human,treatment,high
10.1002/ana.410240318,human,treatment,high
10.1002/ccr3.2144,human,treatment,high
10.1002/ccr3.1619,human,treatment,high
10.1002/jgf2.338,human,not_applicable,high
10.1002/dat.20348,human,treatment,high
10.1002/cca.2515,human,treatment,high
10.1002/mdc3.12039,human,treatment,high
10.1002/mdc3.12299,human,treatment,high
10.1002/mdc3.13833,human,treatment,high
10.1002/mds.10080,human,treatment,high
10.1002/mdc3.12594,human,not_applicable,high
10.1002/mds.10503,human,treatment,high
10.1002/mds.10231,human,treatment,high
10.1002/mds.1141,human,treatment,high
10.1002/mds.1214.abs,human,treatment,high
10.1002/mds.1214,human,treatment,high
10.1002/mds.1104,human,treatment,high
10.1002/mds.20219,human,treatment,high
10.1002/mds.20251,human,treatment,high
10.1002/mds.20257,human,treatment,high
10.1002/mds.20349,human,treatment,high
10.1002/mds.20677,human,treatment,high
10.1002/mds.20911,human,treatment,high
10.1002/mds.20359,human,treatment,high
10.1002/mds.20969,human,not_applicable,high
10.1002/mds.20983,human,treatment,high
10.1002/mds.21261,human,treatment,high
10.1002/mds.21050,human,treatment,high
10.1002/mds.21342,human,treatment,high
10.1002/mds.21401,human,treatment,high
10.1002/mds.21882,human,not_applicable,high
10.1002/mds.22016,human,not_applicable,high
10.1002/mds.22562,human,treatment,high
10.1002/mds.22436,human,treatment,high
10.1002/mds.22753,human,not_applicable,high
10.1002/mds.23157,human,treatment,high
10.1002/mds.23543,human,treatment,high
10.1002/mds.24889,human,treatment,high
10.1002/mds.25154,human,treatment,high
10.1002/mds.27040,human,treatment,high
10.1002/mds.27644,human,treatment,high
10.1002/mds.28224,human,treatment,high
10.1002/mds.23771,human,treatment,high
10.1002/mds.28903,human,treatment,high
10.1002/mds.28668,human,treatment,high
10.1002/mds.870130333,human,treatment,high
10.1002/mus.20427,human,treatment,high
10.1002/pcn5.213,human,not_applicable,high
10.1002/pds.5852,human,treatment,high
10.1002/pds.5596,human,treatment,high
10.1002/pu.20213,human,treatment,high
10.1007/bf01037942,human,treatment,high
10.1007/bf01253608,human,not_applicable,high
10.1007/s00268-013-2185-4,human,treatment,high
10.1007/bf01277664,human,treatment,high
10.1007/s00406-002-0380-7,human,treatment,high
10.1007/s00415-004-0367-6,human,treatment,high
10.1007/s00415-009-5299-8,human,treatment,high
10.1007/s00391-015-0984-y,human,treatment,high
10.1007/s00384-018-3032-8,human,treatment,high
10.1007/s00415-010-5644-y,human,not_applicable,high
10.1007/s00702-004-0217-9,human,not_applicable,high
10.1007/s00415-010-5879-7,human,treatment,high
10.1007/s00702-003-0814-z,human,treatment,high
10.1007/s00702-005-0386-1,human,treatment,high
10.1007/s007020050055,human,treatment,high
10.1007/s10047-019-01100-y,human,treatment,high
10.1007/s10047-020-01164-1,human,treatment,high
10.1007/s10072-013-1478-6,human,treatment,high
10.1007/s10072-014-1653-4,human,treatment,high
10.1007/s10072-018-3456-5,human,treatment,high
10.1007/s10072-021-05667-4,human,treatment,high
10.1007/s10072-023-06733-9,human,treatment,high
10.1007/s00702-009-0361-3,human,treatment,high
10.1007/s10072-024-07342-w,human,treatment,high
10.1007/s10157-011-0485-2,human,treatment,high
10.1007/s10072-025-08677-8,human,treatment,high
10.1007/s10620-009-0943-9,human,treatment,high
10.1007/s10620-007-0021-0,human,treatment,high
10.1007/s11325-014-1041-6,human,treatment,high
10.1007/s11325-014-1049-y,human,treatment,high
10.1007/s11325-018-1619-5,human,treatment,high
10.1007/s11325-019-01984-3,human,treatment,high
10.1007/s11325-018-1751-2,human,treatment,high
10.1007/s11325-021-02353-9,human,treatment,high
10.1007/s13318-015-0273-6,human,not_applicable,high
10.1007/s11695-025-08381-8,human,treatment,high
10.1007/s13760-016-0631-4,human,treatment,high
10.1007/s13760-025-02871-3,human,not_applicable,high
10.1007/s15006-017-9294-1,human,treatment,high
10.1007/s40261-013-0150-5,human,not_applicable,high
10.1007/s40263-012-0020-3,human,treatment,high
10.1007/s40263-015-0254-y,human,treatment,high
10.1007/s40263-016-0329-4,human,treatment,high
10.1007/s40263-016-0372-1,human,treatment,high
10.1007/s40263-023-01055-y,human,treatment,high
10.1007/s40263-016-0333-8,human,treatment,high
10.1007/s40263-025-01192-6,human,treatment,high
10.1007/s41105-021-00364-3,human,treatment,high
10.1007/s41105-022-00401-9,human,not_applicable,high
10.1007/s44337-025-00545-w,human,treatment,high
10.1007/s44337-024-00002-0,human,treatment,high
10.1016/j.ajem.2026.03.019,human,treatment,high
10.1016/j.bj.2021.05.005,human,treatment,high
10.1016/j.bj.2022.06.001,human,treatment,high
10.1016/j.braindev.2010.09.008,human,treatment,high
10.1016/j.braindev.2018.10.001,human,treatment,high
10.1016/j.cdtm.2017.08.001,human,not_applicable,high
10.1016/j.brs.2014.06.008,human,treatment,high
10.1016/j.clinph.2007.04.024,human,not_applicable,high
10.1016/j.clinph.2007.04.001,human,treatment,high
10.1016/j.clinph.2011.05.027,human,treatment,high
10.1016/j.clinthera.2008.02.001,human,treatment,high
10.1016/j.clinthera.2013.10.011,human,not_applicable,high
10.1016/j.clinthera.2015.02.012,human,treatment,high
10.1016/j.clinthera.2013.06.016,human,treatment,high
10.1016/j.clinthera.2016.05.008,human,treatment,high
10.1016/j.ctim.2019.05.009,human,treatment,high
10.1016/j.curtheres.2007.11.001,human,treatment,high
10.1016/j.ctim.2020.102409,human,treatment,high
10.1016/j.clinthera.2012.01.002,human,not_applicable,high
10.1016/j.explore.2023.08.017,human,treatment,high
10.1016/j.explore.2024.05.001,human,treatment,high
10.1016/j.explore.2025.103205,human,treatment,high
10.1016/j.genhosppsych.2006.10.006,human,not_applicable,high
10.1016/j.heliyon.2022.e12258,human,not_applicable,high
10.1016/j.ijcard.2008.11.177,human,treatment,high
10.1016/j.jamda.2025.105485,human,treatment,high
10.1016/j.jams.2017.08.004,human,treatment,high
10.1016/j.jbmt.2019.06.012,human,treatment,high
10.1016/j.ijpsycho.2014.12.005,human,treatment,high
10.1016/j.jbmt.2025.06.015,human,treatment,high
10.1016/j.jecr.2023.100143,human,not_applicable,high
10.1016/j.jns.2006.06.023,human,treatment,high
10.1016/j.jns.2010.04.003,human,treatment,high
10.1016/j.jns.2009.11.010,human,treatment,high
10.1016/j.jns.2012.07.007,human,treatment,high
10.1016/j.jns.2013.11.001,human,treatment,high
10.1016/j.jns.2015.01.025,human,treatment,high
10.1016/j.jns.2022.120462,human,treatment,high
10.1016/j.jns.2016.09.006,human,treatment,high
10.1016/j.jpainsymman.2014.08.010,human,treatment,high
10.1016/j.jocn.2015.01.032,human,not_applicable,high
10.1016/j.jvir.2022.12.019,human,treatment,high
10.1016/j.jocn.2025.111369,human,treatment,high
10.1016/j.math.2012.11.002,human,treatment,high
10.1016/j.msard.2021.102836,human,treatment,high
10.1016/j.msard.2022.104480,human,treatment,high
10.1016/j.nefro.2017.03.023,human,treatment,high
10.1016/j.nefroe.2017.11.017,human,treatment,high
10.1016/j.neucli.2004.02.002,human,treatment,high
10.1016/j.neurol.2013.05.001,human,treatment,high
10.1016/j.neurol.2016.12.035,human,treatment,high
10.1016/j.neurom.2022.10.046,human,treatment,high
10.1016/j.pain.2013.05.007,human,treatment,high
10.1016/j.parkreldis.2010.11.017,human,treatment,high
10.1016/j.parkreldis.2007.05.006,human,treatment,high
10.1016/j.parkreldis.2004.10.015,human,treatment,high
10.1016/j.parkreldis.2014.06.014,human,treatment,high
10.1016/j.parkreldis.2011.10.010,human,treatment,high
10.1016/j.parkreldis.2017.05.015,human,not_applicable,high
10.1016/j.parkreldis.2015.10.007,human,treatment,high
10.1016/j.pec.2023.107768,human,treatment,high
10.1016/j.pediatrneurol.2004.11.007,human,treatment,high
10.1016/j.pnpbp.2010.02.011,human,treatment,high
10.1016/j.pnpbp.2011.10.009,human,treatment,high
10.1016/j.pnpbp.2012.10.012,human,treatment,high
10.1016/j.psychres.2023.115479,human,treatment,high
10.1016/j.sleep.2003.07.005,human,treatment,high
10.1016/j.sleep.2004.01.007,human,treatment,high
10.1016/j.sleep.2004.03.002,human,treatment,high
10.1016/j.sleep.2004.05.006,human,treatment,high
10.1016/j.sleep.2004.10.012,human,treatment,high
10.1016/j.sleep.2004.12.002,human,treatment,high
10.1016/j.sleep.2004.10.014,human,not_applicable,high
10.1016/j.sleep.2005.01.008,human,treatment,high
10.1016/j.sleep.2005.05.007,human,treatment,high
10.1016/j.sleep.2005.06.009,human,treatment,high
10.1016/j.sleep.2006.03.011,human,treatment,high
10.1016/j.sleep.2006.05.018,human,treatment,high
10.1016/j.sleep.2006.09.009,human,treatment,high
10.1016/j.sleep.2007.03.023,human,not_applicable,high
10.1016/j.sleep.2007.04.010,human,treatment,high
10.1016/j.sleep.2007.07.020,human,treatment,high
10.1016/j.sleep.2007.08.017,human,treatment,high
10.1016/j.sleep.2007.10.023,human,treatment,high
10.1016/j.sleep.2007.12.004,human,treatment,high
10.1016/j.sleep.2007.12.006,human,treatment,high
10.1016/j.sleep.2008.04.012,human,treatment,high
10.1016/j.sleep.2008.05.014,human,treatment,high
10.1016/j.sleep.2006.10.008,human,treatment,high
10.1016/j.sleep.2008.07.014,human,treatment,high
10.1016/j.sleep.2008.11.003,human,treatment,high
10.1016/j.sleep.2009.03.009,human,treatment,high
10.1016/j.sleep.2008.09.001,human,treatment,high
10.1016/j.sleep.2009.05.003,human,treatment,high
10.1016/j.sleep.2009.12.002,human,treatment,high
10.1016/j.sleep.2009.12.008,human,treatment,high
10.1016/j.sleep.2010.02.014,human,treatment,high
10.1016/j.sleep.2010.03.019,human,treatment,high
10.1016/j.sleep.2010.11.002,human,treatment,high
10.1016/j.sleep.2010.08.005,human,treatment,high
10.1016/j.sleep.2010.11.007,human,treatment,high
10.1016/j.sleep.2010.03.003,human,treatment,high
10.1016/j.sleep.2010.12.007,human,treatment,high
10.1016/j.sleep.2011.01.008,human,treatment,high
10.1016/j.sleep.2011.03.003,human,treatment,high
10.1016/j.sleep.2011.03.021,human,treatment,high
10.1016/j.sleep.2011.06.009,human,treatment,high
10.1016/j.sleep.2011.08.007,human,not_applicable,high
10.1016/j.sleep.2011.09.016,human,treatment,high
10.1016/j.sleep.2011.11.010,human,treatment,high
10.1016/j.sleep.2011.12.009,human,treatment,high
10.1016/j.sleep.2012.02.011,human,treatment,high
10.1016/j.sleep.2012.06.007,human,treatment,high
10.1016/j.sleep.2012.08.004,human,treatment,high
10.1016/j.sleep.2012.08.019,human,treatment,high
10.1016/j.sleep.2012.11.001,human,treatment,high
10.1016/j.sleep.2013.02.012,human,treatment,high
10.1016/j.sleep.2013.05.018,human,treatment,high
10.1016/j.sleep.2013.02.013,human,treatment,high
10.1016/j.sleep.2013.06.006,human,treatment,high
10.1016/j.sleep.2013.07.007,human,treatment,high
10.1016/j.sleep.2014.01.016,human,treatment,high
10.1016/j.sleep.2014.07.032,human,treatment,high
10.1016/j.sleep.2014.09.015,human,treatment,high
10.1016/j.sleep.2014.08.012,human,treatment,high
10.1016/j.sleep.2014.10.025,human,treatment,high
10.1016/j.sleep.2014.12.019,human,not_applicable,high
10.1016/j.sleep.2014.12.029,human,treatment,high
10.1016/j.sleep.2015.03.006,human,treatment,high
10.1016/j.sleep.2015.04.016,human,treatment,high
10.1016/j.sleep.2015.05.028,human,treatment,high
10.1016/j.sleep.2015.11.002,human,treatment,high
10.1016/j.sleep.2015.10.006,human,treatment,high
10.1016/j.sleep.2016.01.008,human,treatment,high
10.1016/j.sleep.2015.08.006,human,treatment,high
10.1016/j.sleep.2016.06.021,human,treatment,high
10.1016/j.sleep.2016.05.004,human,treatment,high
10.1016/j.sleep.2017.03.012,human,treatment,high
10.1016/j.sleep.2017.06.023,human,treatment,high
10.1016/j.sleep.2017.09.028,human,treatment,high
10.1016/j.sleep.2017.11.1134,human,treatment,high
10.1016/j.sleep.2016.04.012,human,treatment,high
10.1016/j.sleep.2017.11.1139,human,treatment,high
10.1016/j.sleep.2018.02.002,human,treatment,high
10.1016/j.sleep.2018.02.008,human,not_applicable,high
10.1016/j.sleep.2018.04.001,human,treatment,high
10.1016/j.sleep.2018.06.004,human,not_applicable,high
10.1016/j.sleep.2018.11.025,human,treatment,high
10.1016/j.sleep.2019.09.020,human,treatment,high
10.1016/j.sleep.2020.02.027,human,treatment,high
10.1016/j.sleep.2020.06.002,human,treatment,high
10.1016/j.sleep.2020.07.011,human,treatment,high
10.1016/j.sleep.2021.01.017,human,not_applicable,high
10.1016/j.sleep.2020.07.026,human,treatment,high
10.1016/j.sleep.2020.10.022,human,treatment,high
10.1016/j.sleep.2021.08.030,human,treatment,high
10.1016/j.sleep.2021.07.004,human,treatment,high
10.1016/j.sleep.2021.05.036,human,treatment,high
