doi,study_design,confidence
10.1001/archneur.1982.00510230065027,case_series,high
10.1001/archneur.61.9.1393,observational,high
10.1001/archneur.57.5.729,case_series,high
10.1001/archneur.1990.00530110083021,case_series,high
10.1002/14651858.cd005504.pub2,other,high
10.1002/ajh.23820,case_series,high
10.1002/14651858.cd006941.pub2,rct,high
10.1002/1531-8257(199901)14:1<138::aid-mds1023>3.0.co;2-a,non_randomized_trial,high
10.1002/1531-8257(200003)15:2<324::aid-mds1020>3.0.co;2-4,non_randomized_trial,high
10.1002/ana.23565,rct,high
10.1002/ajh.27290,rct,high
10.1002/ccr3.1619,case_series,high
10.1002/ana.410240318,crossover,high
10.1002/cca.2515,rct,high
10.1002/ccr3.2144,case_series,high
10.1002/dat.20348,case_series,high
10.1002/jgf2.338,case_series,high
10.1002/mdc3.12039,case_series,high
10.1002/mdc3.12594,case_series,high
10.1002/mdc3.13833,non_randomized_trial,high
10.1002/mdc3.12299,case_series,high
10.1002/mds.10080,case_series,high
10.1002/mds.10231,case_series,high
10.1002/mds.10503,non_randomized_trial,high
10.1002/mds.1104,case_series,high
10.1002/mds.1141,non_randomized_trial,high
10.1002/mds.1214,case_series,high
10.1002/mds.20219,case_series,high
10.1002/mds.1214.abs,case_series,high
10.1002/mds.20251,rct,high
10.1002/mds.20257,rct,high
10.1002/mds.20349,case_series,high
10.1002/mds.20359,case_series,high
10.1002/mds.20677,case_series,high
10.1002/mds.20911,case_series,high
10.1002/mds.20969,non_randomized_trial,high
10.1002/mds.20983,non_randomized_trial,high
10.1002/mds.21050,rct,high
10.1002/mds.21261,rct,high
10.1002/mds.21342,case_series,high
10.1002/mds.21401,rct,high
10.1002/mds.21882,observational,high
10.1002/mds.22562,rct,high
10.1002/mds.23157,rct,high
10.1002/mds.22436,non_randomized_trial,high
10.1002/mds.23543,non_randomized_trial,high
10.1002/mds.22753,observational,high
10.1002/mds.23771,crossover,high
10.1002/mds.25154,case_series,high
10.1002/mds.27040,rct,high
10.1002/mds.24889,non_randomized_trial,high
10.1002/mds.27644,case_series,high
10.1002/mds.28224,rct,high
10.1002/mds.28668,crossover,high
10.1002/mds.28903,observational,high
10.1002/mds.870130333,non_randomized_trial,high
