doi,source_folder,is_relevant,studies_treatment,trial_type,phase,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.51847/kxu8sriht6,abstract_only,no,no,case_control,not_applicable,yes,,diabetic neuropathy | restless legs syndrome | comorbidity,,,,,,,,
10.6002/ect.2014.0163,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | renal transplantation | hemodialysis | observational study,Effect of Renal Transplantation in Restless Legs Syndrome.,Experimental and Clinical Transplantation,2016,Kahvecioglu S.; Yildiz D.; Buyukkoyuncu N.; Celik H.; Tufan F.; Kılıç AK; Gul B.; Yildiz A.,14,1,45-9,https://doi.org/10.6002/ect.2014.0163
10.1016/s0987-7053(03)00056-x,abstract_only,yes,yes,case_series,phase_1,no,,apomorphine | periodic limb movements | dopaminergic therapy | sleep architecture,Acute low single dose of apomorphine reduces periodic limb movements but has no significant effect on sleep arousals: a preliminary report,Neurophysiologie Clinique/Clinical Neurophysiology,2003,José Haba-Rubio; Luc Staner; Françoise Cornette; Erik Lainey; Rémy Luthringer; Jean Krieger; Jean P. Macher,33,4,180-184,https://doi.org/10.1016/s0987-7053(03)00056-x
10.1007/s10072-012-0953-9,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | ESRD dialysis | HD vs CAPD | epidemiology,Restless legs syndrome in dialysis patients: a comparison between hemodialysis and continuous ambulatory peritoneal dialysis,Neurological Sciences,2012,Giovanni Merlino; Simone Lorenzut; Giulio Romano; Martina Sommaro; Augusto Fontana; Domenico Montanaro; Mariarosaria Valente; Gian Luigi Gigli,33,6,1311-1318,https://doi.org/10.1007/s10072-012-0953-9
10.1016/j.yebeh.2016.02.013,abstract_only,no,no,cross_sectional,not_applicable,yes,,prevalence|epidemiology|RLS-epilepsy comorbidity,,,,,,,,
10.1002/14651858.cd006009.pub2,abstract_only,no,no,other,not_applicable,yes,review,dopamine agonists | RLS treatment | meta-analysis,,,,,,,,
10.3810/pgm.2012.07.2573,abstract_only,no,no,other,not_applicable,yes,review,sleep disorders | diabetes | glucose metabolism,,,,,,,,
10.1016/j.sleep.2024.02.025,abstract_only,no,no,case_series,not_applicable,yes,,RLS in Parkinson's disease | deep-brain stimulation | case report,,,,,,,,
10.1080/14737175.2016.1202764,abstract_only,no,no,other,not_applicable,yes,review,alpha-2-delta ligands | gabapentin | pregabalin | pharmacology review,,,,,,,,
10.1185/03007995.2014.918029,abstract_only,yes,no,other,not_applicable,yes,review,RLS diagnosis | comorbidities | differential diagnosis | management overview,"Diagnosis, comorbidities, and management of restless legs syndrome",Current Medical Research and Opinion,2014,Philip M. Becker; Marta Novak,30,8,1441-1460,https://doi.org/10.1185/03007995.2014.918029
10.1016/s0272-5231(05)70441-x,abstract_only,no,no,other,not_applicable,yes,review,sleep parasomnias | sleep physiology | review,,,,,,,,
10.1016/j.cub.2012.05.004,abstract_only,yes,no,other,not_applicable,yes,editorial,RLS pathogenesis | BTBD9 gene | Drosophila model | mechanistic research,Neurological Disorders: Towards a Mechanistic Understanding of Restless Legs Syndrome,Current Biology,2012,Paul J. Shaw; Stephen P. Duntley,22,12,R485-R486,https://doi.org/10.1016/j.cub.2012.05.004
10.1055/s-2007-973405,abstract_only,no,no,other,not_applicable,yes,review,health economics | burden of illness | cost analysis,,,,,,,,
pmid_19414938,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | dialysis patients | epidemiology | risk factors | sleep disorders,Restless legs syndrome in patients on dialysis.,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",2009,Al-Jahdali HH; Al-Qadhi WA; Khogeer HA; Al-Hejaili FF; Al-Ghamdi SM; Al Sayyari AA,20,3,378-85,https://pubmed.ncbi.nlm.nih.gov/19414938/
10.1002/gpu.20035,abstract_only,no,no,other,not_applicable,yes,,table of contents|multiple topics,,,,,,,,
10.1016/j.jsmc.2015.05.017,abstract_only,yes,no,not_applicable,not_applicable,yes,review,RLS burden | quality of life | sleep disruption | cardiovascular | morbidity,Restless Legs Syndrome/Willis-Ekbom Disease Morbidity,Sleep Medicine Clinics,2015,Mary Suzanne Stevens,10,3,369-373,https://doi.org/10.1016/j.jsmc.2015.05.017
10.7759/cureus.105315,abstract_only,yes,yes,case_series,not_applicable,no,,dextromethorphan|NMDA antagonist|treatment-refractory RLS|glutamate theory|IRLS score,Dextromethorphan for Restless Legs Syndrome: Testing the Glutamate Theory,Cureus,2026,Melissa Khalil; Estefany Garces Delgado; Brynn Dredla; Joseph Cheung; Pablo Castillo,18,3,e105315,https://doi.org/10.7759/cureus.105315
10.4088/pcc.10l00987gre,abstract_only,no,no,case_series,not_applicable,yes,editorial,ropinirole|psychosis|adverse_effect|case_report,,,,,,,,
10.1111/jsr.13072,abstract_only,no,no,other,not_applicable,yes,editorial,editorial|restless legs syndrome|sleep|review,,,,,,,,
10.1016/s1389-9457(02)00143-0,abstract_only,yes,no,other,not_applicable,yes,review,circadian rhythm | dopaminergic dysfunction | pathophysiology | RLS mechanism,Circadian aspects in the pathophysiology of the restless legs syndrome,Sleep Medicine,2002,Garcia-Borreguero D.; Larrosa O.; de la Llave Y.,3,SUPPL. 1,S17-S21,https://doi.org/10.1016/s1389-9457(02)00143-0
10.3389/fphys.2018.01818,abstract_only,no,no,other,not_applicable,yes,,preclinical|animal model|pathophysiology|hypoxia|iron deficiency,,,,,,,,
10.1016/s1474-4422(11)70127-2,abstract_only,yes,yes,non_randomized_trial,phase_4,no,,rotigotine|dopamine agonist|transdermal patch|long-term safety|augmentation,Long-term safety and efficacy of rotigotine transdermal patch for moderate-to-severe idiopathic restless legs syndrome: a 5-year open-label extension study,The Lancet Neurology,2011,Wolfgang Oertel; Claudia Trenkwalder; Heike Beneš; Luigi Ferini-Strambi; Birgit Högl; Werner Poewe; Karin Stiasny-Kolster; Andreas Fichtner; Erwin Schollmayer; Ralf Kohnen; Diego García-Borreguero,10,8,710-720,https://doi.org/10.1016/s1474-4422(11)70127-2
10.1016/j.sleep.2016.07.028,abstract_only,yes,no,other,not_applicable,yes,review,iron metabolism | brain iron status | RLS pathophysiology | hypoxia pathway,"Iron and restless legs syndrome: treatment, genetics and pathophysiology",Sleep Medicine,2017,James R. Connor; Stephanie M. Patton; Konrad Oexle; Richard P. Allen,31,,61-70,https://doi.org/10.1016/j.sleep.2016.07.028
10.1016/j.sleep.2014.10.025,abstract_only,yes,yes,case_series,not_applicable,no,,pramipexole|working memory|ERP|cognitive function|sleep quality,Sternberg working memory performance following treatment with pramipexole in patients with moderate-to-severe restless legs syndrome,Sleep Medicine,2015,Ki-Young Jung; Sung Min Kim; Jin-Young Song; Byeong Uk Lee; Chany Lee; Sang Kun Lee; Yong Seo Koo; Yong Won Cho; Jeong Woo Choi; Kyung Hwan Kim,16,6,703-708,https://doi.org/10.1016/j.sleep.2014.10.025
10.3109/17482968.2011.557736,abstract_only,no,no,cross_sectional,not_applicable,yes,,RLS epidemiology|ALS comorbidity|cross-sectional survey,,,,,,,,
10.1111/jsr.14306,abstract_only,no,no,other,not_applicable,yes,review,drug-induced parasomnias | restless legs syndrome side effect | systematic review,,,,,,,,
10.1016/j.sleep.2025.106694,abstract_only,yes,no,case_control,not_applicable,no,,biomarkers | GFAP | BDNF | NfL | diagnostic,"Association between serum GFAP, BDNF and NfL levels and clinical symptoms in restless legs syndrome: a case-control study",Sleep Medicine,2025,Fang Yan; Yanwei Cheng; Shuman Feng,134,,106694,https://doi.org/10.1016/j.sleep.2025.106694
10.21203/rs.3.rs-32357/v1,abstract_only,yes,no,rct,not_applicable,yes,protocol,electroacupuncture | hemodialysis | restless legs syndrome | study protocol,WITHDRAWN: The effect of electroacupuncture on hemodialysis patients with restless legs syndrome (RLS): study protocol for a randomized crossover trial,Research Square,2020,Jia-Ming Chen; Ping-Fang Chiu; Yu-Jun Chang; Po-Chi Hsu; Chia-Chu Chang; Lun-Chien Lo,2,2,V1,https://doi.org/10.21203/rs.3.rs-32357/v1
10.1016/j.sleep.2004.01.002,abstract_only,yes,no,other,not_applicable,yes,review,RLS history | disease recognition | clinical milestones,Restless legs syndrome: an historical note,Sleep Medicine,2004,Coccagna G.; Vetrugno R.; Lombardi C.; Provini F.,5,3,279-283,https://doi.org/10.1016/j.sleep.2004.01.002
10.1021/acschemneuro.0c00332,abstract_only,yes,no,not_applicable,not_applicable,yes,review,pramipexole | dopamine agonist | RLS treatment | pharmacology | drug metabolism,Classics in Chemical Neuroscience: Pramipexole,ACS Chemical Neuroscience,2020,Wilson SM; Wurst MG; Whatley MF; Daniels RN,11,17,2506-2512,https://doi.org/10.1021/acschemneuro.0c00332
