validated,validated_person,source,discipline,effect,tags,description,claim_text_orig,claim_statistics_orig,claim_statistics_orig_page,claim_text_orig_page,notes,contributors,date_entered,notes_validation,exclusion,es_original,es_replication,n_original,n_replication,ref_original,doi_original,refonly_original,study_original,ref_replication,doi_replication,refonly_replication,study_replication,es_orig,es_rep,es_orig_value,es_orig_estype,es_rep_value,es_rep_estype,pval_value_o,pval_type_o,pval_tails_o,pval_value_r,pval_type_r,pval_tails_r,es_orig_RRR,es_orig_RRR_estype,es_rep_RRR,es_rep_RRR_estype,osf_link,outcome,published_rep,id_sample,same_design,nesting,same_test,original_authors,study_orig,study_rep,teststatistic_orig,teststatistic_rep,p_es_orig,p_es_rep,p_n_orig,p_n_rep,p_p_orig,p_p_rep,result,preregistration,differences,vi_orig,vi_rep,ci.lower_original,ci.upper_original,ci.lower_replication,ci.upper_replication,significant_original,significant_replication,power,orig_journal,both_pdfs,ON_COS_SHEET,DOI_changed,dupl
"Has this entry been validated? [to be filled out by core-team only]

NA = no
0 = no

1 = yes and everything is correct (corresponds to what is reported in the source)
2 = yes and errors were highlighted, corrected, and commented in notes_validation
3 = yes, errors have not yet been corrected

4 = [for individual submissions only] necessary values are present / data is sufficient for effect sizes calculation
5 = [for individual submissions only] some values are missing
6 = [for individual submissions only] data is complete and has been validated with respect to its sources (e.g., papers, datasets)
7 = [for batch submissions only] data corresponds to a secondary source but has not been validated with respect to primary sources",Who has checked the entry? [to be filled out by core-team only],"source of the entry for historic purposes; if you add something this should be ""individual submissions""",Which scientific discipline does the finding come from or where has it been published?,"What is the phenomenon or ""effect"" called? (e.g., ""heat priming"")

leave empty if there is no association with a family of phenomena","tags to increase findability of the entry, separated by commas","Description of the effect/phenomenon under investigation (e.g., x is associated with y, x leads to y), possibly a part of the original publication's title (abstract claim)",The authors’ conclusion or interpretation of the statistical evidence,The statistical test results that support a key finding from the study,Page number of the statistical test results that support a key finding from the study,Page number of the authors’ conclusion or interpretation of the statistical evidence,"Notes for data entry (e.g., something is missing, behind a paywall, there are inconsistencies, you are uncertain about something)","For individual submissions: name of the person who submitted the effect to ReD
For FORRT-entries: Name of the person who completed the entry
For all others: Names of the contributors of the study",date of entry (dd/mm/yyyy); earliest entry: 01/01/2023,Notes regarding the test,Reason for study exclusion ,"Original effect size converted to r [please rather enter the unconverted effect size into the variable ""es_orig_value""]","Replication effect size converted to r [please rather enter the unconverted effect size into the variable ""es_orig_value""]","Original study's sample size [use sample size that was used for the critical test, i.e., after exclusion criteria have been applied]","Replication study's sample size [use sample size that was used for the critical test, i.e., after exclusion criteria have been applied]","Reference of the original study + Study number
(APA7 formatting + Study number)","DOI for the reference of the original study [without ""http"" or ""dx.doi.org""]",Reference of the original study [red ones need to be reformatted to APA],"Study number of the original study (e.g., 1, 1a, A)",Reference (APA7 formatting) of the replication study + Study number,"DOI for the reference of the replication study [without ""http"" or ""dx.doi.org""]",Reference of the replication study,"Study number of the replication study (e.g., 1, 1a, A)","original effect size as formatted in the source materials [included for batch submissions and validation purposes, please leave this empty if you submit something]","replication effect size as formatted in the source materials [included for batch submissions and validation purposes, please leave this empty if you submit something]",original effect size value,"original effect size type (e.g., d, r, r², etasq)",replication effect size value,replication effect size type,The reported p-value associated with the original finding,"The p-value format of the original finding, taking the values of less-than, equal to, or greater than
equal to: e
less than: l
greater than: g
less equal: le
greater equal: ge

for example ""p < .05"" should be coded as ""l""","How many tails associated with the p-value, taking on values of one, two, or unknown

one: 1
two: 2
unknown / not specified: NA
missing: not coded",The reported p-value associated with the replication finding,"The p-value format of the replication finding, taking the values of less-than, equal to, or greater than

equal to: e
less than: l
greater than: g
less equal: le
greater equal: ge

for example ""p < .05"" should be coded as ""l""","How many tails associated with the p-value, taking on values of one, two, or unknown

one: 1
two: 2
unknown: NA
missing: not coded","obsolete variable, included for historic reasons","obsolete variable, included for historic reasons","obsolete variable, included for historic reasons","obsolete variable, included for historic reasons","Link to the OSF project or to another repository (e.g., researchbox) that includes materials and data for the replication study","outcome of the replication study with respect to direction and difference between original and replication effect; automatically computed based on provided test statistics, please leave empty","Has the replication study been published?
0 = no
1 = as pre-print
2 = as peer-reviewed journal article
3 = as other (thesis, data set, ...)","unique ID per sample (if 2 effects originate from one sample, then enter the same values in each case), also code two cases as the same id_sample if their samples overlap more than ~80%","Was the same design used in the replication study (e.g., within-subjects design, number of factors and factor levels, nesting, ...)
0 = no, 1 = yes","Were all observations independent, nested, matched, clustered, ...?","Was the same statistical test used in the replication study (e.g., t-test, ANOVA, ...)?
0 = no, 1 = yes","Was any of the original study's authors involved in the replication study?
0 = no, 1 = yes",Number / sample / page of the original study,Number / sample / page of the replication study,full test statistic for respective finding,full test statistic for respective finding,page number of the original effect size,page number of the replication effect size,page number of the original sample size,page number of the replication sample size,page number of the original p-value,page number of the replication p-value,"success, informative failure to replicate, practical failure to replicate, inconclusive [taken from the respective reports and if not reported automatically computed; success = both effects are significant in the same direction]",link to the preregistration of the replication study,Specification of all differences between the original study and the replication written in bullet points or plain text.,"variances of original effects, automatically computed","variances of replication effects, automatically computed","lower confidence interval for the standardized effect size (replication effect), automatically computed","upper confidence interval for the standardized effect size (replication effect), automatically computed","lower confidence interval for the standardized effect size (replication effect), automatically computed","upper confidence interval for the standardized effect size (replication effect), automatically computed","was the original effect significant? 1 = yes, 0 = no, automatically computed","was the replication effect significant? 1 = yes, 0 = no, automatically computed","Replication study power based on replication N and original effect size converted to r, automatically computed",Journal that published the original findings,,0,,
1,LR,OSF Registries,Social Psychology,Heat Priming,,Heat-Priming is associated with increased hostile perceptions,"Pairwise comparisons showed that participants primed with hot temperature words (M = 7.85, SD = 1.24) rated Donald as more hostile than did participants primed with [...] cold temperature words (M = 6.79, SD = 1.86) [...] F(1, 69) = 5.02, p < .03, d = .67.","Pairwise comparisons showed that participants primed with hot temperature words (M = 7.85, SD = 1.24) rated Donald as more hostile than did participants primed with [...] cold temperature words (M = 6.79, SD = 1.86) [...] F(1, 69) = 5.02, p < .03, d = .67.",1046,1046,there were two replications but the preregistration only referred to one (data here is from Study 1 in the lab); other effect sizes available,Randy J. McCarthy,1/1/23 0:00,,,0.3134,-0.0599,48,121,"DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047.",10.1016/j.jesp.2009.05.003,"DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047. https://doi.org/10.1016/j.jesp.2009.05.003",2,"McCarthy, R. J. (2014, March 8). The Effect of ""Heat-Priming"" on Hostile Perceptions. https://doi.org/10.17605/OSF.IO/XSZK6 ",10.17605/OSF.IO/XSZK6,"McCarthy, R. J. (2014, March 8). The Effect of ""Heat-Priming"" on Hostile Perceptions. https://doi.org/10.17605/OSF.IO/XSZK6 ",1,,,0.67,d,-0.12,d,0.03,l,,,,,,,,,https://www.osf.io/xszk6,,,,,,,,,,,,,,,,,,informative failure to replicate,https://www.osf.io/xszk6,,,,0.032126057,0.548676275,-0.236601059,0.12063656,1,0,0.97,Journal of Experimental Social Psychology,1,1,10.1016/j.jesp.2009.05.003,
1,LR,OSF Registries,Social Psychology,Color red on attractiveness,CREP,Color red increases attractiveness ratings,,,,,other effect sizes available; computed based on https://www.researchgate.net/publication/326144486_Elliott_et_al%27s_2010_Red_Rank_and_Romance_Effect_A_Meta-Analysis_of_Collaborative_Replications_and_Education_Project_CREP_Replications p.11 Elliot et al (2010),Kasia Banas,1/1/23 0:00,,,0.3892,0.03,33,39,"Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Lu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399–417. DOI: https://doi.org/10.1037/ a0019689",10.1037/a0019689,"Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Lu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399–417. https://doi.org/10.1037/a0019689",,"Banas, K. (2014, June 17). Replication of Elliot et al.  (2010) for CREP at the University of Edinburgh. https://doi.org/10.17605/OSF.IO/DQV9Y ",10.17605/OSF.IO/DQV9Y,"Banas, K. (2014, June 17). Replication of Elliot et al.  (2010) for CREP at the University of Edinburgh. https://doi.org/10.17605/OSF.IO/DQV9Y ",,,,,,,,,,,,,,,,,,https://www.osf.io/dqv9y,,,,,,,,,,,,,,,,,,informative failure to replicate,https://www.osf.io/dqv9y,,,,0.052968424,0.646170384,-0.288245442,0.342277222,1,0,0.803,Journal of Experimental Psychology,0,1,10.1037/a0019689,
1,LR,OSF Registries,,,,Causal Attributions From Genetic Ascriptions Affect Legal Decision Making,,,,,"F-value from Study 3 was used, effect size from original study was used",Jarret Crawford,1/1/23 0:00,,,0.1228,0.1028,298,743,"Cheung, B. Y., & Heine, S. J. (2015). The double-edged sword of genetic accounts of criminality: Causal attributions from genetic ascriptions affect legal decision making. Personality and Social Psychology Bulletin, 41(12), 1723-1738. Study 3",10.1177/0146167215610520,"Cheung, B. Y., & Heine, S. J. (2015). The double-edged sword of genetic accounts of criminality: Causal attributions from genetic ascriptions affect legal decision making. Personality and Social Psychology Bulletin, 41(12), 1723-1738. https://doi.org/10.1177/0146167215610520",3,"Crawford, J. (2016, May 2). Syntax and output files for Cheung & Heine 2015 study 3 replication. https://doi.org/10.17605/OSF.IO/E9D3K ",10.17605/OSF.IO/E9D3K,"Crawford, J. (2016, May 2). Syntax and output files for Cheung & Heine 2015 study 3 replication. https://doi.org/10.17605/OSF.IO/E9D3K ",,,,,,,,,,,,,,,,,,https://www.osf.io/e9d3k,,,,,,,,,,,,,,,,,,success,https://www.osf.io/e9d3k,,,,0.00930913,0.233167458,0.031104692,0.173442871,1,1,0.957,Personality and Social Psychology Bulletin,1,1,10.1177/0146167215610520,
1,LR,OSF Registries,,,,moral qualities of a behavior influence people’s judgements as to whether or not that behavior should be considered intentional,,,,,,Ivar Rodríguez Hannikainen,1/1/23 0:00,,potential duplicate from experimental-philosophy project,0.46,0.6,80,292,"Knobe, J. (2003). Intentional action in folk psychology: An experimental investigation. Philosophical psychology, 16(2), 309-324.",10.1080/09515080307771,"Knobe, J. (2003). Intentional action in folk psychology: An experimental investigation. Philosophical psychology, 16(2), 309-324. https://doi.org/10.1080/09515080307771",,"Hannikainen, I. R. (2017, January 6). Knobe2003PhilPsych_replication. https://doi.org/10.17605/OSF.IO/XZ3HD ",10.17605/OSF.IO/XZ3HD,"Hannikainen, I. R. (2017, January 6). Knobe2003PhilPsych_replication. https://doi.org/10.17605/OSF.IO/XZ3HD ",,,,,,,,,,,,,,,,,,https://www.osf.io/xz3hd,,,,,,,,,,,,,,,,,,success,https://www.osf.io/xz3hd,,,,0.267298948,0.617324091,0.521104784,0.668728335,1,1,1,Philosophical Psychology,,1,10.1080/09515080307771,
1,LR,OSF Registries,,,,Moral Responsibility and Determinism,,,,,,Tania Moerenhout,1/1/23 0:00,,potential duplicate from experimental-philosophy project,0.3836,0.73,41,80,"Nichols, S., & Knobe, J. (2007). Moral responsibility and determinism: The cognitive science of folk intuitions. Nous, 41(4), 663-685.",10.1111/j.1468-0068.2007.00666.x,"Nichols, S., & Knobe, J. (2007). Moral responsibility and determinism: The cognitive science of folk intuitions. Nous, 41(4), 663-685. https://doi.org/10.1111/j.1468-0068.2007.00666.x",,"Moerenhout, T., Machery, E., & Zhou, X. (2017, March 20). Replication Nichols and Knobe. https://doi.org/10.17605/OSF.IO/283GK",10.17605/OSF.IO/283GK,"Moerenhout, T., Machery, E., & Zhou, X. (2017, March 20). Replication Nichols and Knobe. https://doi.org/10.17605/OSF.IO/283GK",,,,,,,,,,,,,,,,,,https://www.osf.io/283gk,,,,,,,,,,,,,,,,,,success,https://www.osf.io/283gk,,,,0.086112043,0.618283854,0.607764474,0.818443943,1,1,0.973,Noûs,,1,10.1111/j.1468-0068.2007.00666.x,
1,LR,OSF Registries,,,,evaluative processing goals shape amygdala activity,,,,,,"Kateri McRae, Mallory C. Kidwell, Johanna Cohoon, Daniel Lumian, Lilian Hummer, TESS-Experiments",1/1/23 0:00,,,0.154618,0.154618,,39,"Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160.",10.1111/j.1467-9280.2008.02061.x,"Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160. https://doi.org/10.1111/j.1467-9280.2008.02061.x",,"McRae, K., Lumian, D. S., &  T. (2023, September 28). Materials. https://doi.org/10.17605/OSF.IO/7VGKQ",10.17605/OSF.IO/7VGKQ,"McRae, K., Lumian, D. S., &  T. (2023, September 28). Materials. https://doi.org/10.17605/OSF.IO/7VGKQ",,,,,,,,,,,,,,,,,,https://www.osf.io/7vgkq,,,,,,,,,,,,,,,,,,success,https://www.osf.io/7vgkq,,,,,,-0.169151019,0.44826654,,0,0.243,Psychological Science,0,1,,
1,LR,OSF Registries,,,,Intentional Action and Intending: Recent EmpiricalStudies,,,,,,Florian Cova,1/1/23 0:00,,potential duplicate from experimental-philosophy project,0.154,0.04,50,144,"McCann, H. J. (2005). Intentional action and intending: Recent empirical studies. Philosophical Psychology, 18(6), 737-748.",10.1080/09515080500355236,"McCann, H. J. (2005). Intentional action and intending: Recent empirical studies. Philosophical Psychology, 18(6), 737-748. https://doi.org/10.1080/09515080500355236",,"Cova, F. (2017, August 21). Replication of ""McCann, H. J.  (2005). Intentional action and intending: Recent empirical studies. Philosophical Psychology, 18 (6), 737-748."". https://doi.org/10.17605/OSF.IO/A7W3E",10.17605/OSF.IO/A7W3E,"Cova, F. (2017, August 21). Replication of ""McCann, H. J.  (2005). Intentional action and intending: Recent empirical studies. Philosophical Psychology, 18 (6), 737-748."". https://doi.org/10.17605/OSF.IO/A7W3E",,,,,,,,,,,,,,,,,,https://www.osf.io/a7w3e,,,,,,,,,,,,,,,,,,success,https://www.osf.io/a7w3e,,,,-0.129916668,0.414576662,-0.124389813,0.20225258,0,0,0.581,Philosophical Psychology,,1,10.1080/09515080500355236,
1,LR,OSF Registries,,,,"Bad Acts, Blameworthy Agents, and Intentional Actions:  Some Problems for Juror Impartiality",,,,,,Christian Mott,1/1/23 0:00,,potential duplicate from experimental-philosophy project,0.25,0.41,,259,"Nadelhoffer, T. (2006). Bad acts, blameworthy agents, and intentional actions: Some problems for juror impartiality. Philosophical explorations, 9(2), 203-219.",10.1080/13869790600641905,"Nadelhoffer, T. (2006). Bad acts, blameworthy agents, and intentional actions: Some problems for juror impartiality. Philosophical explorations, 9(2), 203-219. https://doi.org/10.1080/13869790600641905",,"Mott, C. (2017, September 10). Replication of Nadelhoffer  (2006) Bad Acts, Blameworthy Agents, and Intentional Actions: Some problems for juror impartiality. https://doi.org/10.17605/OSF.IO/9T3ZF",10.17605/OSF.IO/9T3ZF,"Mott, C. (2017, September 10). Replication of Nadelhoffer  (2006) Bad Acts, Blameworthy Agents, and Intentional Actions: Some problems for juror impartiality. https://doi.org/10.17605/OSF.IO/9T3ZF",,,,,,,,,,,,,,,,,,https://www.osf.io/9t3zf,,,,,,,,,,,,,,,,,,success,https://www.osf.io/9t3zf,,,,,,0.303266885,0.506573021,,1,0.993,Philosophical Explorations,,1,10.1080/13869790600641905,
1,LR,OSF Registries,,,,"Bad Acts, Blameworthy Agents, and Intentional Actions:  Some Problems for Juror Impartiality",,,,,,Christian Mott,1/1/23 0:00,,potential duplicate from experimental-philosophy project,0.32,0.47,,259,"Nadelhoffer, T. (2006). Bad acts, blameworthy agents, and intentional actions: Some problems for juror impartiality. Philosophical explorations, 9(2), 203-219.",10.1080/13869790600641905,"Nadelhoffer, T. (2006). Bad acts, blameworthy agents, and intentional actions: Some problems for juror impartiality. Philosophical explorations, 9(2), 203-219. https://doi.org/10.1080/13869790600641905",,"Mott, C. (2017, September 10). Replication of Nadelhoffer  (2006) Bad Acts, Blameworthy Agents, and Intentional Actions: Some problems for juror impartiality. https://doi.org/10.17605/OSF.IO/9T3ZF ",10.17605/OSF.IO/9T3ZF,"Mott, C. (2017, September 10). Replication of Nadelhoffer  (2006) Bad Acts, Blameworthy Agents, and Intentional Actions: Some problems for juror impartiality. https://doi.org/10.17605/OSF.IO/9T3ZF ",,,,,,,,,,,,,,,,,,https://www.osf.io/9t3zf,,,,,,,,,,,,,,,,,,success,https://www.osf.io/9t3zf,,,,,,0.369265692,0.559818008,,1,1,Philosophical Explorations,,1,,
