"description","tags","osf_link","result","ref_original","ref_replication"
"Incidental Haptic Sensations Influence Social Judgments and Decisions","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Failure","Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental haptic sensations influence social judgments and decisions. Science, 328(5986), 1712-1715.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Age-related changes in the episodic simulation of future events","Adult, Aged, Aging [psychology], Female, Humans, Imagination, Life Change Events, Male, Mental Recall, Middle Aged, Neuropsychological Tests, Word Association Tests","https://osf.io/yaeu7/","Success","Addis, D.R., Wong, A.T., & Schacter, D.L. (2008). Age-related changes in the episodic simulation of future events. Psychological Science, 19(1), 33-41.","Vásquez-Echeverría, A. (2023, September 28). Replication of DR Addis, AT Wong, DL Schacter (2008, PS 19(1)). Retrieved from osf.io/yaeu7"
"ventriloquist effect results from near-optimal bimodal integration","","https://osf.io/xwn9m/","OS not significant","Alais, D., & Burr, D. (2004). The ventriloquist effect results from near-optimal bimodal integration. Current biology, 14(3), 257-262.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)","https://osf.io/rgm6p/","Failure","Albarracín, D., Handley, I.M., Noguchi, K., McCulloch, K.C., Li, H., Leeper, J., Brown, R.D., Earl, A., & Hart, W.P. (2008). Increasing and decreasing motor and cognitive output: A model of general action and inaction goals. Journal of Personality and Social Psychology, 95(3), 510-523.","Voracek, M., & Sonnleitner, C. (2016, August 19). Replication of D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008, JPSP 95(3), Exp. 7). Retrieved from osf.io/rgm6p"
"Disfluency engages analytic processing","Many Labs 2","https://osf.io/8cd4r/","OS not significant","Alter, A. L., Oppenheimer, D. M., Epley, N., & Eyre, R. N. (2007). Overcoming intuition: Metacognitive difficulty activates analytic reasoning. Journal of Experimental Psychology: General, 136, 569–576.  3445.136.4.569 Study 4","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","Adult, Distance Perception, Environment, Female, Humans, Male, Perception, Questionnaires, Visual Perception","https://osf.io/kegmc/","OS not significant","Alter, A.A., & Oppenheimer, D.M. (2008). Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle). Psychological Science, 19, 161-167.","Foster, J. D. (2023, September 28). Replication of Alter & Oppenheimmer (2008, PS, Study 2B). Retrieved from osf.io/kegmc"
"The representation of simple ensemble visual features outside the focus of attention","Adolescent, Adult, Attention, Humans, Visual Perception","https://osf.io/dnaxe/","Success","Alvarez, G.A. & Oliva, A. (2008). The representation of simple ensemble visual features outside the focus of attention. Psychological Science, 19(4), 392-398.","Schlegelmilch, R., & van den Bergh, D. (2023, September 28). Replication of GA Alvarez, A Oliva (2008, PS 19(4), Exp. 3). Retrieved from osf.io/dnaxe"
"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States","https://osf.io/wkgpq/","Failure","Amodio, D. M., Devine, P. G., & Harmon-Jones, E. (2008). Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control. Journal of Personality and Social Psychology, 94(1), 60-74.","Johnson-Grey, K. M., Hayes, T. B., & Graham, J. (2023, September 28). Replication of Amodio, Devine, & Harmon-Jones (2008, JPSP, Study 2). Retrieved from osf.io/wkgpq"
"Sociometric status and well-being","Many Labs 2","https://osf.io/8cd4r/","Failure","Anderson, C., Kraus, M. W., Galinsky, A. D., & Keltner, D. (2012). The local-ladder effect: Social status and subjective well-being. Psychological Science, 23, 764–771.  Study 3","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Prescribed optimism: Is it right to be wrong about the future?","Affect, Attitude, Coercion, Forecasting, Humans, Time Perception","https://osf.io/qlzap/","Success","Armor, D.A., Massey, C., & Sackett, A.M. 2008. Prescribed optimism: Is it right to be wrong about the future? Psychological Science, 19, 329-331.","Lassetter, B., Brandt, M. J., van ’t Veer, A. E., & Mehta, P. (2023, September 28). Replication of Armor, Massey & Sackett (2008, PS, Study 1). Retrieved from osf.io/qlzap"
