Name,Field,Publication_Year,N_original_experimental_effects,N_successful,Replication_rate_%,Effect size decline,Relative_effect_size_%,Info URL,Paper / PDF URL,Description,tag,selection_design,sampling_frame,rate_is_population_estimate,success_criterion,unit_of_analysis,post_commitment_attrition_pct,schema_source,construct,excluded_from_pooled_rates,exclusion_reason
Reproducibility Project: Psychology,Psychology,2015,100,36,36,50,50,,https://www.science.org/doi/10.1126/science.aac4716,"An open, large-scale, collaborative effort to systematically examine the rate and predictors of reproducibility in psychological science, involving 72 researchers from 41 institutions who replicated studies published in three prominent psychological journals in 2008. Main findings: 100 studies attempted; 36 successfully replicated (36% replication rate).",RP:P,quasi_random_frame_feasibility,"Rolling pool of 20 articles per journal in publication order from JPSP, Psych Science, JEP:LMC, 2008; teams self-selected on expertise/equipment/population access",yes_with_caveat,multi_criterion,effect,,OSC 2015 Science; per-study outcomes osf.io/fgjvw,new_data_replication,no,
Camerer et al. – Experimental Economics Replication Project,Economics,2016,18,11,61,34,66,,https://www.science.org/cms/asset/febfa588-66f1-493b-afb8-268e0aaeb6a9/pap.pdf,A collaborative initiative to replicate influential experimental economics studies published in <i>American Economic Review</i> and the <i>Quarterly Journal of Economics</i> between 2011-2014. Replication statistics: 18 studies attempted; 11 successfully replicated (61.1% replication rate). Key findings: a 61% replication rate with replicated effect sizes being 66% of the original effect sizes.,ExECON,exhaustive_frame,"Between-subject laboratory experiments published in American Economic Review and Quarterly Journal of Economics, 2011-2014",yes,sig_same_direction,experiment,,Camerer et al. 2016 Science; VERIFY: confirm all eligible studies attempted,new_data_replication,no,
Camerer et al. – Nature/Science Social Science Replication Project,Social Science,2018,21,13,62,50,50,,https://pure.eur.nl/files/37359856/Camerer_et_al._2018_Evaluating_the_replicability_of_social_science_experiments_in_Nature_and_Science_between_2010_and_2015.pdf,"A large-scale replication effort examining the reproducibility of findings across various social science disciplines, including economics, sociology, and political science. Replication statistics: 21 studies attempted; 13 successfully replicated (61.9% replication rate). Key findings: 62% of replications found significant effects in the same direction as originals, though effect sizes averaged about 50% of the original effect sizes, emphasizing the importance of replication in social science research.",SSRP,exhaustive_frame,"Experimental social science studies published in Nature and Science, 2010-2015; first study reporting a significant treatment effect per paper",yes,sig_same_direction,experiment,,Camerer et al. 2018 Nat Hum Behav; VERIFY: confirm exhaustiveness,new_data_replication,no,
Examining Replicability of Online Experiments (Holzmeister et al.),Social Science,2025,26,14,54,55,45,https://osf.io/sk82q/,https://www.nature.com/articles/s41562-024-02062-9,"Replication of 26 of 41 systematically selected online (MTurk) social-science experiments published in <i>PNAS</i> 2015–2018. The 26 studies were chosen by a decision market in which 162 social scientists traded on replication outcomes: the 12 studies with the highest final market prices, the 12 with the lowest, and 2 selected at random. Replication statistics: 26 experiments attempted; 14 successfully replicated (54% replication rate), with replication effect sizes averaging 45% of the originals. Key finding: the decision market predicted replicability well — 83% of the top-12 group replicated versus 33% of the bottom-12 group.",EROE,forecast_selected,12 highest + 12 lowest prediction-market prices + 2 random draws; conditioned on forecast extremes by construction,no,multi_criterion,claim,,Holzmeister et al. 2025; aggregate rate is a design artifact - report 83% top vs 33% bottom separately,new_data_replication,no,
Many Labs 1,Psychology,2014,13,10,77,,,,https://osf.io/wx7ck/files/ebmf8,"A large collaborative replication project involving 36 labs worldwide that tested 13 classic and contemporary psychological effects across multiple samples and settings. Replication statistics: 13 effects attempted; 10 successfully replicated (≈77% replication rate).Ten effects replicated consistently across sites, while three showed weak or no evidence for the original results. The study demonstrated that many psychological effects are robust across different contexts, though some depend strongly on experimental conditions or sample characteristics.",ML1,domain_purposive,"Effects chosen for multi-site administrability (short, simple paradigms), not sampled from a frame",no,sig_same_direction,lab_by_effect,,Klein et al. 2014; NOT the same design as ML3/4/5,new_data_replication,no,
Many Labs 2,Psychology,2018,24,11,46,,,,https://journals.sagepub.com/doi/10.1177/2515245918810225,"An extension of Many Labs 1, this project aimed to replicate 28 findings across 125 labs and 36 countries to assess the generalizability of psychological effects. Replication statistics: 28 findings attempted; 14 successfully replicated (50% replication rate). Key findings: The replication rate was approximately 50%, indicating variability in the reproducibility of psychological effects and emphasizing the importance of context, culture, and methodological factors in replication success.",ML2,domain_purposive,Effects chosen for multi-site administrability and cross-cultural comparison,no,sig_same_direction,lab_by_effect,,Klein et al. 2018 AMPPS; ARM UNUSABLE: DB rate 15% vs published ~50% - needs repair,new_data_replication,no,
Experimental Philosophy – Reproducibility Project,Psychology,2018,40,28,70,,,,https://zenodo.org/records/14296259/files/fulltext.pdf?download=1,"A collaborative replication project in experimental philosophy (x-phi) that aimed to assess the reproducibility of findings at the intersection of philosophy and psychology. Replication statistics: Approximately 40 experiments attempted; specific replication rates varied by study. Key findings: The project demonstrated variability in replicability across experimental philosophy studies, with some effects replicating consistently while others did not, highlighting the need for rigorous replication in this interdisciplinary field.",XPHIR,VERIFY,VERIFY: confirm selection procedure in Cova et al. 2018,tbd,sig_same_direction,effect,,VERIFY: Cova et al. 2018 selection procedure not yet confirmed,new_data_replication,no,
Brazilian Reproducibility Initiative,Biomedical,2025,97,13,26,40,60,https://en.reprodutibilidade.bio.br/home,https://www.biorxiv.org/content/10.1101/2025.04.02.645026v4,"A multicentre initiative in Brazil to assess reproducibility of biomedical experiments run in Brazil (replicated papers needed at least 50% of authors to be based in Brazil). The initiative selected approximately 60 experiments from Brazilian published articles (including cell-viability assays, RT-PCR, and rodent elevated plus maze), with each experiment replicated in 3 laboratories. Replication statistics: 60 experiments attempted; replication success varied between 15% and 45% depending on criteria used. Key findings: Initial results show significant variability in replication success, with replication rates ranging from ~15% to ~45% depending on the specific criteria applied, highlighting challenges in reproducing biomedical research even within the same country's research context.",BRI,method_stratified,"Brazilian biomedical experiments sampled on laboratory technique (cell viability/MTT, RT-PCR, elevated plus maze) plus Brazilian authorship - sampled on method, not on findings",no,multi_criterion,experiment,,Brazilian Reproducibility Initiative 2025 bioRxiv,new_data_replication,no,
Reproducibility Project: Cancer Biology,Cancer biology/ oncology,2021,116,46-91,40-78,84,16,https://www.cos.io/rpcb,https://elifesciences.org/articles/71601,"The team replicated 50 experiments across 23 high-impact cancer biology papers. They originally set out to replicate 53 papers, but protocol problems, uncooperative authors and others factors forced them to scale back to just 23 papers. The project evaluated 158 reported effects across those papers and found that replication effect sizes were dramatically attenuated, with a median 85% reduction relative to the originals and 92% of replication effect sizes smaller than initially reported. Using five replication criteria applicable to both positive and null findings, only 40% of positive effects and 80% of null effects replicated, yielding an overall replication success rate of 46%. Using a less strict definition of replication (was there a statistically significant effect in the same direction?) the replication rate was 78%. ",RP:CB,impact_selected,High-impact cancer biology papers 2010-2012 selected on citation/impact; 23 of 53 papers survived to completion,no,multi_criterion,effect,57,Errington et al. 2021 eLife; informative censoring - dropout mechanisms proxy the outcome,new_data_replication,no,
#EEGManyLabs,Neuroscience,ONGOING,27,,TBD,,,https://eegmanylabs.org/,https://www.sciencedirect.com/science/article/pii/S0010945221001106?via%3Dihub#sec9,"An international multi-lab replication project focused on replicating 27 influential electroencephalography (EEG) studies across multiple laboratories. Replication statistics: 27 influential EEG studies attempted; replication rates varied by paradigm and analysis approach. Key findings: Results varied significantly by paradigm and analysis method, demonstrating that EEG findings are context-dependent and highlighting the importance of methodological transparency in neuroscience replication efforts.",,impact_selected,Influential EEG findings chosen by community vote,no,sig_same_direction,effect,,Pavlov et al.; not in DB,new_data_replication,no,
