,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
0,0.1747682,d,135.0,0.117,r,740.0,10.1037/mot0000097,J. Lukas Thürmer; Sean M. McCrea,Beyond motivated reasoning: Hostile reactions to critical comments from the outgroup.,Motivation Science,4.0,4,333,2018.0,10.1002/ejsp.2748,J. Lukas Thürmer; Sean M. Mccrea,Disentangling the intergroup sensitivity effect: Defending the ingroup or enforcing general norms?,European Journal of Social Psychology,51.0,7,1061,2021.0,,We investigated the hypothesis that group members would reject outgroup criticism (as compared to the same criticism from the ingroup) using costly punishment,"intergroup sensitivity effect, intergroup criticism, behavior, costly punishment,",success,"<a href=""https://doi.org/10.1002/ejsp.2748"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Thürmer J. <i>et al.</i> <i>European Journal of Social Psychology</i> 2021</a>","<a href=""https://doi.org/10.1037/mot0000097"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Thürmer J. <i>et al.</i> <i>Motivation Science</i> 2018</a>"
1,0.3162278,etasq,47.0,0.2828427,etasq,54.0,10.1177/0956797610384746,Karin Roelofs; Muriel A. Hagenaars; John Stins,Facing Freeze,Psychological Science,21.0,11,1575,2010.0,10.1007/s00426-019-01203-4,Marret K. Noordewier; Daan Scheepers; Leon P. Hilbert,Freezing in response to social threat: a replication,Psychological Research,84.0,7,1890,2019.0,Marketing,"Freezing is an adaptive defensive response to a stressful event. It is characterized by reduced body motion, reduced heart rate (bradycardia), and increased muscle tonus. Social threats in the context of these studies are stimuli of angry faces. ",Freezing response to social threat,success,"<a href=""https://doi.org/10.1007/s00426-019-01203-4"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Noordewier M. <i>et al.</i> <i>Psychological Research</i> 2019</a>","<a href=""https://doi.org/10.1177/0956797610384746"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Roelofs K. <i>et al.</i> <i>Psychological Science</i> 2010</a>"
2,0.35,,749.0,0.31,,514.0,10.1111/j.1468-0017.2010.01398.x,James R. Beebe; Wesley Buckwalter,The Epistemic Side-Effect Effect,Mind &amp; Language,25.0,4,474,2010.0,10.1007/s13164-018-0400-9,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,Experimental Philosophy,,experimental philosophy,success,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1111/j.1468-0017.2010.01398.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Beebe J. <i>et al.</i> <i>Mind &amp;amp; Language</i> 2010</a>"
3,0.46,,37.0,0.6,,145.0,10.1080/09515080307771,Joshua Knobe,Intentional action in folk psychology: An experimental investigation,Philosophical Psychology,16.0,2,309,2003.0,10.1007/s13164-018-0400-9,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,Experimental Philosophy,"In the absence of skill, murder is judged intentional but achievement is not",experimental philosophy,success,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1080/09515080307771"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Knobe J. <i>et al.</i> <i>Philosophical Psychology</i> 2003</a>"
4,0.59,,78.0,0.61,,100.0,10.1111/1467-8284.00419,Joshua Knobe,Intentional action and side effects in ordinary language,Analysis,63.0,279,190,2003.0,10.1007/s13164-018-0400-9,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,Experimental Philosophy,Intentional Action and Side Effects in Ordinary Language,experimental philosophy,success,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1111/1467-8284.00419"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Knobe J. <i>et al.</i> <i>Analysis</i> 2003</a>"
5,0.83,,10.0,0.77,,9.0,10.1080/0951508042000202354,Shaun Nichols,After objectivity: an empirical study of moral judgment,Philosophical Psychology,17.0,1,3,2004.0,10.1007/s13164-018-0400-9,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,Experimental Philosophy,participants who respond as nonobjectivists about canonical moral violations still treat such violations in typical ways,experimental philosophy,success,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1080/0951508042000202354"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Nichols S. <i>et al.</i> <i>Philosophical Psychology</i> 2004</a>"
6,0.29,,72.0,0.0,,181.0,10.1016/j.cognition.2003.10.003,Édouard Machery,"Semantics, cross-cultural style",Cognition,92.0,3,B1,2003.0,10.1007/s13164-018-0400-9,Florián Cova; Brent Strickland; Angela Abatista; Aurélien Allard; James Andow; Mario Attie; James R. Beebe; Renatas Berniûnas; Jordane Boudesseul; Matteo Colombo; Fiery Cushman; Rodrigo Díaz; Noah N. N. van Dongen; Vilius Dranseika; Brian D. Earp; Antonio Gaitán Torres; Ivar R. Hannikainen; José V. Hernández‐Conde; Wenjia Hu; François Jaquet; Kareem Khalifa; Hanna Kim; Markus Kneer; Joshua Knobe; Miklós Kürthy; Anthony Lantian; Shen‐Yi Liao; Édouard Machery; Tania Moerenhout; Christian Mott; Mark Phelan; Jonathan Phillips; Navin Rambharose; Kevin Reuter; Felipe Romero; Paulo Sousa; Jan Sprenger; Emile Thalabard; Kevin Tobia; Hugo Viciana; Daniel A. Wilkenfeld; Xiang Zhou,Estimating the Reproducibility of Experimental Philosophy,Review of Philosophy and Psychology,12.0,1,9,2018.0,Experimental Philosophy,Westerners are more likely than East Asians to report intuitions that are consistent with the causal-historical view,experimental philosophy,inconclusive,"<a href=""https://doi.org/10.1007/s13164-018-0400-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cova F. <i>et al.</i> <i>Review of Philosophy and Psychology</i> 2018</a>","<a href=""https://doi.org/10.1016/j.cognition.2003.10.003"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Machery É. <i>et al.</i> <i>Cognition</i> 2003</a>"
7,0.8944,etasq,44.0,-0.3219,d,96.0,10.1080/13506280544000110,Matthew A. Lambon Ralph; Sheeba Ehsan,Age of acquisition effects depend on the mapping between representations and the frequency of occurrence: Empirical and computational evidence,Visual Cognition,13.0,7-8,928,2006.0,10.1016/j.actpsy.2020.103138 ,Jonathan Catling; Mahmoud Medhat Elsherif,The hunt for the age of acquisition effect: It's in the links!,Acta Psychologica,209.0,,103138,2020.0,Developmental Psychology,The magnitude of the age of acquisition effect I(i.e. early-acquired words are named more quickly than later-acquired words) in lexical retrieval is larger in picture naming than visual word naming.,"Age of acquisition, Picture naming, word naming, Direct replication, lexical retrieval,Age acquisition effect",failure,"<a href=""https://doi.org/10.1016/j.actpsy.2020.103138"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Catling J. <i>et al.</i> <i>Acta Psychologica</i> 2020</a>","<a href=""https://doi.org/10.1080/13506280544000110"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ralph M. <i>et al.</i> <i>Visual Cognition</i> 2006</a>"
8,0.1612452,etasq,275.0,0.03162278,etasq,383.0,10.1086/691462,Adrian F. Ward; Kristen Duke; Ayelet Gneezy; Maarten W. Bos,Brain Drain: The Mere Presence of One’s Own Smartphone Reduces Available Cognitive Capacity,Journal of the Association for Consumer Research,2.0,2,140,2017.0,10.1016/j.actpsy.2022.103717,Ana C. Ruiz Pardo; John Paul Minda,Reexamining the “brain drain” effect: A replication of Ward et al. (2017),Acta Psychologica,230.0,,103717,2022.0,Marketing,"The mere presence of one's own smartphone may occupy limited-capacity cognitive resources, thereby leaving fewer resources available for other tasks and undercutting cognitive performance.",,inconclusive,"<a href=""https://doi.org/10.1016/j.actpsy.2022.103717"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Pardo A. <i>et al.</i> <i>Acta Psychologica</i> 2022</a>","<a href=""https://doi.org/10.1086/691462"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ward A. <i>et al.</i> <i>Journal of the Association for Consumer Research</i> 2017</a>"
9,0.29,r,60.0,0.32,r,42.0,10.1016/j.cognition.2014.09.006,Aaron A. Duke; Laurent Bègue,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,Cognition,134.0,,121,2014.0,10.1016/j.cognition.2014.09.006,Aaron A. Duke; Laurent Bègue,The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas,Cognition,134.0,,121,2014.0,Experimental philosophy,drunk utilitarian,"utilitarianism, alcohol, CNI Model, trolley dilemma, moral judgmenet,drunk utilitarian",success,"<a href=""https://doi.org/10.1016/j.cognition.2014.09.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Duke A. <i>et al.</i> <i>Cognition</i> 2014</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.09.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Duke A. <i>et al.</i> <i>Cognition</i> 2014</a>"
10,0.17,,373.0,-0.05,,586.0,10.1111/j.1467-8624.2007.00995.x,Lisa S. Blackwell; Kali H. Trzesniewski; Carol Sorich Dweck,Implicit Theories of Intelligence Predict Achievement Across an Adolescent Transition: A Longitudinal Study and an Intervention,Child Development,78.0,1,246,2007.0,10.1016/j.intell.2020.101471,Yue Li; Timothy C. Bates,Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades?,Intelligence,81.0,,101471,2020.0,Social psychology,Growth mindset is associated with the change of grades in a challenging educational transition.,"Intelligence-mindset, Educational attainment, Growth mindset, Challenging transitions,growth mindset",inconclusive,"<a href=""https://doi.org/10.1016/j.intell.2020.101471"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Li Y. <i>et al.</i> <i>Intelligence</i> 2020</a>","<a href=""https://doi.org/10.1111/j.1467-8624.2007.00995.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Blackwell L. <i>et al.</i> <i>Child Development</i> 2007</a>"
11,0.22414769,d,112.0,0.05989229,d,302.0,10.1016/j.cognition.2014.08.006,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133.0,3,572,2014.0,10.1016/j.jesp.2023.104549,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110.0,,104549,2023.0,Cognitive psychology,Priming analytic thinking using the scrambled sentence task reduces belief in conspiracy theories,"analytic thinking, priming, conspiracy theory,Analytic priming",inconclusive,"<a href=""https://doi.org/10.1016/j.jesp.2023.104549"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Većkalov B. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2023</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.08.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Swami V. <i>et al.</i> <i>Cognition</i> 2014</a>"
12,0.20551723,d,140.0,0.02998651,d,488.0,10.1016/j.cognition.2014.08.006,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133.0,3,572,2014.0,10.1016/j.jesp.2023.104549,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110.0,,104549,2023.0,Cognitive psychology,Priming analytic thinking using the scrambled sentences paradigm reduces belief in conspiriacy theories,"analytic thinking, priming, conspiriacy theory,Analytic priming",inconclusive,"<a href=""https://doi.org/10.1016/j.jesp.2023.104549"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Većkalov B. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2023</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.08.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Swami V. <i>et al.</i> <i>Cognition</i> 2014</a>"
13,0.29,beta,499.0,0.43,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,autonomy-enjoy,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
14,0.27,beta,499.0,0.64,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,autonomy-recovery,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
