description,result,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_url
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #1: DU145 cell proliferation between siLuc and siPTEN,failure,6.0,15.55022,d,"[5.257552, 26.05874]",1.41e-07,t,,10,0.2433831,d,"[-1.009143, 1.481106]",0.7054361,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #2: DU145 cell proliferation between siLuc and siPTENP1,failure,6.0,6.153975,d,"[1.768501, 10.52976]",0.0001439379,t,,10,1.728561,d,"[0.1992304, 3.185692]",0.0147371,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #3: DU145 cell proliferation between siLuc and siPTEN+siPTENP1,failure,6.0,23.24239,d,"[7.984998, 37.9749]",5.95e-09,t,,10,1.832289,d,"[0.2738955, 3.317114]",0.01050397,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #4: DU145 cell proliferation between siPTEN+siPTENP1 and siPTEN,failure,6.0,7.692164,d,"[2.372797, 13.04715]",2.95e-05,t,,10,1.588906,d,"[0.09712672, 3.010802]",0.02309614,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #5: DU145 cell proliferation between siPTEN+siPTENP1 and siPTENP1,failure,6.0,17.08841,d,"[5.806536, 28.61677]",6.72e-08,t,,10,0.1037272,d,"[-1.140048, 1.341146]",0.8717794,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #6: PTEN mRNA expression between siLuc and siPTEN,success,6.0,3.550201,Glass' delta,"[0.01023859, 7.121244]",0.01991732,t,,10,2.113865,Glass' delta,"[0.1901405, 3.943944]",0.001698913,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #7: PTEN mRNA expression between siLuc and siPTENP1,success,6.0,2.485944,Glass' delta,"[-0.3100871, 5.194378]",0.03834298,t,,10,0.3524805,Glass' delta,"[-0.9296733, 1.593941]",0.5797451,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #8: PTEN mRNA expression between siLuc and siPTEN+siPTENP1,success,6.0,3.240964,Glass' delta,"[-0.07688066, 6.554284]",0.02393541,t,,10,2.056528,Glass' delta,"[0.1604913, 3.857627]",0.002616336,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #9: PTENP1 mRNA expression between siLuc and siPTEN,failure,6.0,3.514033,d,"[0.6315354, 6.298304]",0.01260772,t,,10,0.5172411,d,"[-0.7623987, 1.766394]",0.4371327,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #10: PTENP1 mRNA expression between siLuc and siPTENP1,success,6.0,5.702851,d,"[1.585428, 9.796224]",0.00221037,t,,10,2.245365,d,"[0.5624174, 3.851844]",0.007506881,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
