replication_doi,replication_url,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,discipline,subdiscipline,justification
10.1002/1099-0879(200007)7:3<220::aid-cpp243>3.0.co;2-f,https://doi.org/10.1002/1099-0879(200007)7:3<220::aid-cpp243>3.0.co;2-f,True,https://doi.org/10.1037/0022-006x.62.3.636,"Feldman-Summers, S.; Pope, K.",The experience of 'forgetting' child abuse: A national survey of psychologists,Journal of Consulting and Clinical Psychology,3,3,626-639,1994,"Among psychologists who reported experiencing childhood abuse, approximately 40% experienced a period of forgetting some or all of the abuse for a significant period of time",success,psychology,clinical psychology,"The authors explicitly state in the Discussion section: 'Virtually the same percentages of Dutch (39%) and US psychologists (41%; Feldman-Summers and Pope, 1994) reported some significant period of forgetting abuse.' The abstract concludes: 'These results were remarkably similar to the results of Feldman-Summers and Pope's original study.'"
10.1002/acp.3769,https://doi.org/10.1002/acp.3769,True,https://doi.org/10.1002/acp.2974,"Nahari, G.; Vrij, A.; Fisher, R.",The verifiability approach: Countermeasures facilitate its ability to discriminate between truths and lies,Applied Cognitive Psychology,28,,122-128,2014,"When forewarned that their statements would be checked for verifiable details, truth tellers provide more verifiable details than liars",success,psychology,social psychology,"The authors explicitly state: ""Following our predefined replication criterion, we consider the replication successful: Being forewarned, truth tellers provided significantly more verifiable details than liars"" and ""Four researchers (BV, MS, IK, SVO) were involved in this replication, and all four considered the replication successful."""
10.1002/cpp.2677,https://doi.org/10.1002/cpp.2677,True,https://doi.org/10.1037/a0019786,"Murdock, N.; Edwards, C.; Murdock, T.",Therapists' attributions for client premature termination: Are they self-serving?,"Psychotherapy: Theory, Research, Practice, Training",47,,221-234,2010,"Therapists exhibit self-serving bias when evaluating premature treatment termination, attributing more blame to client characteristics when evaluating their own clients and more blame to therapist factors when evaluating other therapists' clients",failure,psychology,social psychology,"The authors explicitly state: 'In contrast to Murdock et al. (2010), we did not find evidence for a general SSB in therapists' attributions' and conclude 'The present study did not find evidence for a robust SSB in therapists' evaluation of causes for premature treatment termination.' The critical interaction effect that would indicate self-serving bias was non-significant (F(2, 88) = .75, p = .48)."
10.1002/erv.3103,https://doi.org/10.1002/erv.3103,True,https://doi.org/10.1016/j.psychres.2017.09.048,"Sfärlea, A.; Greimel, E.; Platt, B.; Dieler, A.; Schulte-Körne, G.",Recognition of emotional facial expressions in adolescents with anorexia nervosa and adolescents with major depression,Psychiatry Research,262,,586-594,2018,"Adolescents with anorexia nervosa show superior facial emotion recognition abilities compared to adolescents without mental disorders, with higher accuracy specifically for afraid facial expressions",success,psychology,clinical psychology,"The authors explicitly state: ""We found the same pattern of results as in our previous study [31] in an independent sample of adolescents with and without AN, allowing us to interpret our results with more confidence"" and ""we succeeded in exactly replicating the pattern of results."""
10.1002/erv.3175,https://doi.org/10.1002/erv.3175,True,https://doi.org/10.1016/j.beth.2023.05.012,"Van Doornik, S.; Glashouwer, K.; Ostafin, B.; De Jong, P. J.",The Effects of a Meaning-Centered Intervention on Meaning in Life and Eating Disorder Symptoms in Undergraduate Women With High Weight and Shape Concerns: A Randomized Controlled Trial,Behavior Therapy,55,1,177-190,2024,A 6-week online meaning-centered intervention increases life meaning and reduces eating disorder symptoms and general distress in young women with weight and shape concerns,success,psychology,clinical psychology,"The authors explicitly state: ""our study demonstrated replicational evidence for the efficacy of a meaning-centered intervention in terms of higher life meaning for young women with weight and shape concerns."" The primary outcome (life meaning) replicated successfully at both post-assessment (η²p = 0.23) and follow-up (η²p = 0.10), consistent with the original study's findings."
10.1002/hbm.26065,https://doi.org/10.1002/hbm.26065,True,https://doi.org/10.1126/science.1168450,"Hare, T.; Camerer, C.; Rangel, A.",Self-control in decision-making involves modulation of the vmPFC valuation system,Science,324,,646-648,2009,"Activity in ventromedial prefrontal cortex (vmPFC) encodes food value and integrates health and taste attributes during self-control decisions, with dorsolateral prefrontal cortex (dlPFC) modulating vmPFC to incorporate long-term health goals",inconclusive,neuroscience,cognitive neuroscience,"The authors report mixed replication results across four key hypotheses. They successfully replicated findings about vmPFC value signals (H1-H2), stating ""Our data provide further support for the now widely accepted notion that decisions are associated with a value signal in vmPFC."" However, they failed to replicate the dlPFC findings, stating ""We did not find strong evidence in support of the second set of hypotheses (Hypotheses 3 and 4)...which highlight the role of left dlPFC in self-control."" Table 2 in the paper classifies results as: H1 ""Supported"", H2 ""Supported with reservations"", H3 ""Not supported"", and H4 ""Mixed evidence""."
10.1002/hup.2802,https://doi.org/10.1002/hup.2802,True,https://doi.org/10.1016/j.psychres.2019.03.041,"Monteith, S.; Glenn, T.",A comparison of potential psychiatric drug interactions from six drug interaction database programs,Psychiatry Research,275,,366-372,2019,"Six commercial drug interaction database programs show inconsistent categorization of potential drug-drug interactions for 100 drug pairs involving psychiatric drugs, with overall agreement of only 66%",success,medicine,psychiatry,"The replication successfully confirmed the original findings. The authors state: 'After 2 years of updates to all six drug interaction database programs, differences remain in the category of potential DDI for the 100 drug pairs involving psychiatric drugs. Just as in 2018...' The overall percent agreement was 67% in 2020 compared to 66% in 2018, and the Fleiss kappa remained fair (0.266 vs 0.257)."
10.1002/jclp.70017,https://doi.org/10.1002/jclp.70017,True,https://doi.org/10.1016/j.beth.2011.02.006,"Haeffel, G.",Motion as Motivation: Using Repetitive Flexion Movements to Stimulate the Approach System,Behavior Therapy,42,4,667-675,2011,Repeated finger flexion movements increase approach-reward motivation and persistence on difficult tasks,inconclusive,psychology,social psychology,"Results were highly inconsistent across two studies. The authors conclude: ""the effects of repeated finger flexion movements on reward motivation, affect, and behavior appear to be inconsistent and weak... there is little evidence that body movements have a reliable and valid causal effect on approach-reward motivation."" Each study found one significant effect but on different dependent variables, which the authors attribute to chance findings rather than genuine effects."
10.1007/bf01071183,https://doi.org/10.1007/bf01071183,True,https://doi.org/10.2307/1162190,"Chomsky, C.",The Acquisition of Syntax in Children from 5 to 10,American Educational Research Journal,8,2,391,1969,Children do not master the syntactic form of sentences like 'John is easy to see' until after age 8 years (approximately 100 months),failure,psychology,developmental psychology,"The authors found that when visual context was properly controlled, children acquired this syntactic ability by age 67 months (not 100 months as Chomsky claimed), stating ""children have acquired the linguistic ability to cope with sentence type (1) at an earlier age than suggested by Chomsky"" and ""Chomsky's age estimates were distorted upward by the dominating effects of the visual aspects of her task."""
10.1007/s00105-002-0469-y,https://doi.org/10.1007/s00105-002-0469-y,True,https://doi.org/10.1093/humrep/16.3.587,"Conrad, R.; Schilling, G.; Langenbuch, M.",Alexithymia in male infertility,Hum Reprod,16,3,587-592,2001,Infertile men show significantly higher levels of alexithymia and somatization compared to healthy controls,success,medicine,psychosomatic medicine,"The authors explicitly state in their conclusion: 'In summary, it can be stated that the hypothesis of increased alexithymia and somatization in infertile men has now been confirmed in 2 studies.' The abstract also clearly states: 'Our study replicated the findings of the previous investigation.' Both main findings (higher alexithymia with p<0.01 and higher somatization with p<0.05) were successfully reproduced."
