replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails
10.1002/hbm.24836,https://doi.org/10.1002/hbm.24836,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/hbm.26522,https://doi.org/10.1002/hbm.26522,,,True,https://doi.org/10.1016/j.neuroimage.2020.117005,"Peter, M.; Mårtensson, G.; Postma, E.; Nordin, L.; Westman, E.; Boesveldt, S.; Lundström, J.","Morphological changes in secondary, but not primary, sensory cortex in individuals with life-long olfactory sensory deprivation",NeuroImage,218,,117005,2020,Individuals with congenital anosmia show bilateral morphological abnormalities in orbitofrontal cortex but no morphological abnormalities in piriform (primary olfactory) cortex,success,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,60,,,,,,
10.1007/s00426-018-1109-1,https://doi.org/10.1007/s00426-018-1109-1,,,True,https://doi.org/10.1098/rsos.160935,"Heycke, T.; Aust, F.; Stahl, C.",Subliminal influence on preferences? a test of evaluative conditioning for brief visual conditioned stimuli using auditory unconditioned stimuli,Royal Society Open Science,4,9,160935,2017,Evaluative conditioning effects occur with briefly presented visual stimuli when paired with auditory unconditioned stimuli in a cross-modal paradigm,failure,very close,psychology,social psychology,,high,,,,,,,,152,0.01,d,"[-0.15, 0.16]",,,
10.1007/s00426-019-01258-3,https://doi.org/10.1007/s00426-019-01258-3,,,True,https://doi.org/10.1037/xlm0000530,"Schuch, S.; Pütz, S.",Mood state dissociates conflict adaptation within tasks and across tasks,Journal of Experimental Psychology,44,9,1487-1499,2018,Positive mood enhances between-task conflict adaptation while negative mood enhances within-task conflict adaptation in a task-switching paradigm,failure,direct,psychology,cognitive psychology,,high,80,0.09,etasq,,,,,79,,,,,,
10.1007/s00426-025-02167-4,https://doi.org/10.1007/s00426-025-02167-4,,,True,https://doi.org/10.1016/j.cognition.2020.104488,"Bonato, M.; D'ovidio, U.; Fias, W.; Zorzi, M.",A momentum effect in temporal arithmetic,Cognition,206,,,2021,"Addition of temporal durations produces longer reproduced intervals than subtraction of durations, despite identical target outcomes (the temporal momentum effect)",success,direct,psychology,cognitive psychology,,high,,,,,,,,32,,,,0.001,<,
10.1007/s10899-016-9608-8,https://doi.org/10.1007/s10899-016-9608-8,,,True,https://doi.org/10.1016/j.paid.2010.05.032,"Mishra, S.; Lalumière, M.; Williams, R.","Gambling as a form of risk-taking: individual differences in personality, risk-accepting attitudes, and behavioral preferences for risk",Personality and Individual Differences,49,6,616-621,2010,"Gambling involvement and problem gambling tendencies are associated with risky personality traits, behavioral risk-taking, and risk attitudes across multiple domains",success,direct,psychology,social psychology,,high,115,,,,,,,328,,,,,,
10.1007/s10899-016-9608-8,https://doi.org/10.1007/s10899-016-9608-8,,,True,https://doi.org/10.1007/s10899-010-9217-x,"Mishra, S.; Lalumière, M.; Morgan, M.; Williams, R.",An examination of the relationship between gambling and antisocial behavior,Journal of Gambling Studies,27,3,409-426,2011,"Problem gambling tendencies and general gambling involvement are associated with antisocial behavior, and this relationship is explained by personality traits associated with risk",success,direct,psychology,social psychology,,high,180,,,,,,,328,,,,,,
10.1007/s40617-020-00453-8,https://doi.org/10.1007/s40617-020-00453-8,,,True,https://doi.org/10.5210/bsi.v7i1.300,"Greer, R.",The comprehensive application of behavior analysis to schooling (CABAS),Behavior and Social Issues,7,1,59-63,1997,"The CABAS educational model (featuring learn units, evidence-based curriculum, verbal behavior protocols, decision protocols, and teacher/parent training) improves developmental outcomes for children with autism spectrum disorder",success,very close,education,special education,,high,,,,,,,,11,,,,0.0001,<,two-sided
10.1016/j.cortex.2016.03.020,https://doi.org/10.1016/j.cortex.2016.03.020,,,True,https://doi.org/10.1016/s0960-9822(01)00023-9,"Haffenden, A.; Schiff, K.; Goodale, M.",The dissociation between perception and action in the Ebbinghaus illusion: nonillusory effects of pictorial cues on grasp,Current Biology,11,3,177-181,2001,Context circles in the Ebbinghaus illusion affect grasping through obstacle avoidance mechanisms rather than through perceptual illusion effects,failure,direct,neuroscience,cognitive neuroscience,,high,18,1.4,mm,,,,,144,,,,0.008,=,
10.1016/j.cortex.2020.09.007,https://doi.org/10.1016/j.cortex.2020.09.007,,,True,https://doi.org/10.1037/0278-7393.31.3.443,"Van Berkum, J.; Brown, C.; Zwitserlood, P.; Kooijman, V.; Hagoort, P.",Anticipating upcoming words in discourse: Evidence from ERPs and reading times,Journal of Experimental Psychology Learning,31,3,443-467,2005,Gender-marked adjectives elicit an early positivity when mismatching the gender of a highly predictable noun during spoken discourse comprehension,failure,direct,psychology,cognitive psychology,,high,24,0.75,mV,,0.05,<,,187,-0.16,mV,,0.052,=,two-sided
