replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,version
10.1001/archgenpsychiatry.2011.1574,https://doi.org/10.1001/archgenpsychiatry.2011.1574,,,True,https://doi.org/10.1002/jts.20034,"Waelde, L.; Silvern, L.; Fairbank, J.",A taxometric investigation of dissociation in Vietnam veterans,J Trauma Stress,18,4,359-369,2005,Evidence for a dissociative subtype (taxon) of PTSD characterized by elevated levels of dissociation,success,close,psychology,clinical psychology,,high,,,,,,,,492,,,,,,,
10.1001/archneur.1990.00530080033007,https://doi.org/10.1001/archneur.1990.00530080033007,,,True,https://doi.org/10.1097/00002093-198802010-00015,"Heyman, A.; Wilkinson, W.; Hurwitz, B.; Helons, M.; Haynes, C.; Utley, C.",Early-onset Alzheimer's disease: clinical predictors of institutionalization and death,Neurology,37,1,980-984,1987,Severity of dementia is an important factor influencing institutionalization in Alzheimer's disease patients,success,close,neuroscience,neuropsychology,,high,,,,,,,,42,,,,0.01,<,,
10.1001/archneur.1994.00540150069019,https://doi.org/10.1001/archneur.1994.00540150069019,,,True,https://doi.org/10.1001/archneur.1990.00530080033007,"Drachman, D.; O'Donnell; Lew, B.; Swearer, R.",The prognosis in Alzheimer's disease: 'how far' rather than 'how fast' best predicts the course,Arch Neurol,47,8,851-856,1990,"Degree of severity at entry ('how far') rather than rate of progression ('how fast') best predicts clinical endpoints (total dependence, incontinence, institutionalization) in Alzheimer's disease patients",reversal,close,medical fields,geriatric care,,high,42,,,,,,,81,,,,0.05,<,one-sided,
10.1001/archpsyc.1993.01820190043005,https://doi.org/10.1001/archpsyc.1993.01820190043005,,,True,https://doi.org/10.1016/0024-3205(92)90563-5,"Breier, A.; Wolkowitz, O.; Rappaport, M.; Paul, S.; Pickar, D.",Metabolic stress effects in normal volunteers and schizophrenic patients,Psychopharmacol Bull,24,19,431-433,1988,2-deoxyglucose-induced metabolic stress causes significantly greater elevations in plasma homovanillic acid (HVA) levels in schizophrenic patients compared to healthy controls,success,direct,medical fields,psychiatry,,high,,,,,,,,29,,,,0.02,=,one-sided,
10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,https://doi.org/10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,,,True,https://doi.org/10.1017/cbo9780511814273.008,"Tversky, Amos; Kahneman, Daniel",Extensional versus intuitive reasoning: the conjunction fallacy in probability judgment,Psychological Review,90,,315,1983,The Linda problem (probability representation): people judge the conjunction 'Linda is a bank teller and is active in the feminist movement' as more probable than the constituent 'Linda is a bank teller',success,direct,psychology,cognitive psychology,,high,,,,,,,,18,,,,,,,
10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,https://doi.org/10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,,,True,https://doi.org/10.1017/cbo9780511814273.008,"Tversky, Amos; Kahneman, Daniel",Extensional versus intuitive reasoning: the conjunction fallacy in probability judgment,Psychological Review,90,,315,1983,The health-survey problem (probability representation): people judge a conjunction as more probable than its constituent in a health-survey context,success,direct,psychology,cognitive psychology,,high,,,,,,,,24,,,,,,,
10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,https://doi.org/10.1002/(sici)1099-0771(199912)12:4<275::aid-bdm323>3.0.co;2-m,,,True,https://doi.org/10.1017/cbo9780511814273.008,"Tversky, Amos; Kahneman, Daniel",Extensional versus intuitive reasoning: the conjunction fallacy in probability judgment,Psychological Review,90,,315,1983,The frequency effect: representing problems in terms of absolute frequencies rather than probabilities reduces conjunction fallacy violations,success,direct,psychology,cognitive psychology,,high,,,,,,,,20,,,,,,,
10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,https://doi.org/10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/(sici)1099-1379(199903)20:2<175::aid-job882>3.0.co;2-e,https://doi.org/10.1002/(sici)1099-1379(199903)20:2<175::aid-job882>3.0.co;2-e,,,True,https://doi.org/10.5465/256404,"O'Reilly, Charles; Chatman, Jennifer; Caldwell, David",People and organizational culture: A profile comparison approach to assessing person-organization fit,Academy of Management Journal,34,3,516,1991,Congruence between an organization's culture and new employees' value preferences predicts lower turnover rates,success,close,psychology,social psychology,,high,,,,,,,,433,,,,0.0049,=,,
10.1002/1099-1379(200008)21:5<487::aid-job57>3.0.co;2-p,https://doi.org/10.1002/1099-1379(200008)21:5<487::aid-job57>3.0.co;2-p,,,True,https://doi.org/10.1006/obhd.1996.0049,"Green, A.; Shivers, S.",Demographic and organizational influences on leader-member exchange and related work attitudes,Organizational Behavior and Human Decision Processes,66,2,203-214,1996,Work unit size is negatively related to leader-member exchange (LMX) quality,failure,close,psychology,social psychology,,high,,-0.22,r,,,,,174,-0.07,r,,0.05,>,,
