original_url,replication_url,description,result,replication_type,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,original_es_r,replication_es_r,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,field,discipline,subdiscipline,tags,validated,validated_person,replication_initiative_tag,source,explanation,confidence,ai_version
https://doi.org/10.1007/s13524-013-0261-x,https://doi.org/10.1038/s41586-025-10078-y,U.S. adults who experienced three or more childhood socioeconomic adversities are more likely than those with no adversities to transition from no functional limitations to difficulty with basic activities of daily living.,success,close,,,,,,,,,,,,,,,45434.0,0.4446858,r,"[0.106321733633373, 0.783049866366627]",0.01,=,,161855.0,0.65752,r,,,"[0.65654001800773, 0.65849998199227]",0.0,,,social sciences,sociology,,sociology; close replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1016/j.obhdp.2016.08.001,https://doi.org/10.1038/s41586-025-10078-y,Intrinsic motivation has a significant positive relationship with employee creativity across a meta-analysis of 191 independent samples.,success,close,,,,,,,,,,,,,,,2347.0,0.16,r,"[0.101201080463798, 0.218798919536202]",9.642624e-08,=,two,729.0,0.275,r,0.109427452542079,0.275,"[0.190721548664778, 0.359278451335222]",0.0,,,social sciences,marketing,,business; close replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1177/0956797609359908,https://doi.org/10.1038/s41586-025-10078-y,"American participants construe behaviors as choices more than Indian participants do, with this cultural difference present in the experimental choice condition but not in the control condition.",success,direct,,,,,,,,,,,,,,,128.0,0.0474166666666667,f²,"[0.00088758524619371, 0.156068847776742]",0.01862707,=,two,448.0,0.0439414414414415,f²,0.212767734862054,0.205163018727056,"[0.0132746906014861, 0.0917221621103293]",1.26e-05,,,social sciences,psychology,,psychology; direct replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1017/s0043887112000032,https://doi.org/10.1038/s41586-025-10078-y,"Higher concern about immigration is associated with greater distrust in the national parliament, net of individual and country-level controls in multilevel models.",success,close,,,,,,,,,,,,,,,110732.0,0.17,r,"[0.160396176475754, 0.179603823524246]",0.0,=,,17134.0,0.1828843,r,0.131804697998475,0.15979913710646,"[0.16595546779698, 0.19981313220302]",0.0,,,social sciences,political science,,political science; close replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1037/a0019973,https://doi.org/10.1038/s41586-025-10078-y,"Horizontal collectivism predicts greater vividness of recall for socialized-power memories, reflecting a cultural tendency to conceptualize power in terms of benefiting others.",failure,direct,,,,,,,,,,,,,,,3.0,0.475987,r,"[0.294206220325864, 0.657767779674136]",0.05,<,,5.0,0.04276479,r,,0.0510016958896694,"[-0.0532784431506232, 0.138808023150623]",0.3835407,,,social sciences,psychology,,psychology; direct replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1016/j.cognition.2016.03.003,https://doi.org/10.1038/s41586-025-10078-y,"For Hebrew readers, compatible finger-counting mapping produces faster responses than all other mappings, while for English readers, compatible mapping is actually slower than incompatible mapping.",failure,direct,,,,,,,,,,,,,,,20.0,0.878421052631579,f²,"[0.137852171095648, 1.94690116947105]",0.0006305039,=,two,50.0,0.0181632653061225,f²,0.68384062020021,0.133563641541972,"[0.0, 0.165621740470828]",0.35,,,social sciences,psychology,,psychology; direct replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1007/s13524-018-0725-0,https://doi.org/10.1038/s41586-025-10078-y,"The well-being gains from marriage are larger than those from cohabitation in Dutch panel data, with both partnership formations improving subjective well-being.",reversal,close,,,,,,,,,,,,,,,3617.0,0.00072867291227891,f²,"[7.3940837307863e-05, 0.00205855046345551]",0.004,=,two,8227.0,7.75486394674536e-05,f²,0.0269841126359832,0.0088058291002208,"[0.0, 0.00041154612214545]",0.1324,,,social sciences,sociology,,sociology; close replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.31234/osf.io/cgjw8,https://doi.org/10.1038/s41586-025-10078-y,Worry about the COVID-19 crisis is positively associated with responsible COVID-19 behaviors (beta = .211).,success,direct,,,,,,,,,,,,,,,880.0,0.134,r,"[0.0908807923401188, 0.177119207659881]",,,,531.0,0.2119442,r,0.201128662935962,0.348579998049107,"[0.16345964973136, 0.26042875026864]",0.0,,,social sciences,psychology,,psychology; covid; direct replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1086/653487,https://doi.org/10.1038/s41586-025-10078-y,Teams in complementary production technology conditions exert significantly higher mean effort than teams in substitutable production technology conditions under unequal reward schemes.,success,direct,,,,,,,,,,,,,,,24.0,0.846299269587126,r,"[0.374805213722055, 1.3177933254522]",0.0004,=,two,28.0,0.518365093427245,r,0.58329255119607,0.403588903965881,"[0.0830954026127837, 0.953634784241707]",0.0174,,,social sciences,economics,,economics; direct replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
https://doi.org/10.1016/j.jfineco.2014.05.008,https://doi.org/10.1038/s41586-025-10078-y,"Among NASDAQ stocks, market volatility (VIX) is negatively associated with quoted spread, contrary to the expected direction.",reversal,close,,,,,,,,,,,,,,,1743.0,1.63643652427828,d,"[1.56439549106769, 1.70802496920597]",0.0,=,two,2142.0,-0.0483322303071279,d,0.853358728523217,-0.0482871234107898,"[-0.0906988563761549, -0.00595435229546189]",0.0254,,,social sciences,economics,,economics; close replication,no,,socsci_2026,DARPA SCORE program; Tyner et al. (2026) Nature doi:10.1038/s41586-025-10078-y,,high,claude-sonnet-4-6
