original_url,replication_url,result,discipline,subdiscipline,validated,validated_person,description,AI_summary
na,10.1001/jama.2009.1295,na,,,yes,Dan Elton,na,
10.1002/ab.22027,10.1002/ab.22027,success,physiology,,yes,Dan Elton,Fighters' factial widht-to-height ratio predicts their fighting success.,
10.1038/s41598-017-05456-0,10.1002/acn3.50914,success,genetics,,yes,Dan Elton,Copy number variations and SNPs in the Midnolin (MIDN) gene are associated with Parkinson’s disease.,
10.1002/acp.2878,10.1002/acp.3439,failure,psychology,,yes,Dan Elton,Trruth‐tellers include more specific time references in their answers.,
10.1186/s12874-020-0906-6,10.1186/s12874-024-02264-9,success,medicine,,yes,Dan Elton,Hierarchical Bayesian modeling can be used to predict the outcomes of multiple sclerosis patient treatment.,
10.1001/archgenpsychiatry.2009.153,10.1002/ajmg.b.32068,success,genetics,,yes,Dan Elton,the 5-HTTLPR polymorphism in the promoter region of the serotonin transporter gene (SLC6A4) moderates the effect of childhood adversity on posttraumatic stress disorder,
na,10.1002/alz.12584,na,,,yes,Dan Elton,na,
10.1016/j.neulet.2011.02.024,10.1007/s11682-020-00339-x,success,genetics,neuroscience,yes,Dan Elton,"MRI shows an association between the rs2396753 SNP in FOXP2 and gray matter reduction in schizophrenia patients in several brain regions, including the dorsolateral prefrontal cortex.",
10.1007/s00426-019-01163-9,10.1080/17470​91070​15636​81.,success,psychology,,yes,Dan Elton,There is a decreased “kiki/bouba” effect in people with autism spectrum conditions.,"Key findings: Effect was replicated: ASC group showed weaker kiki/bouba associations than controls, But: Nonverbal IQ also significantly predicted performance in the ASC group (not in controls) - suggesting intelligence compensates for the deficit, Autism severity mattered: Those with full autism showed weaker effects than those with ""autism spectrum"" diagnosis,  Categorization question: ""Partial replication"" is awkward for a binary success/failure schema. The core effect (diminished crossmodal correspondence in autism) was confirmed, but with additional nuance about IQ as a moderator."
10.1016/j.tics.2014.03.002,10.1371/journal.pone.0236287,failure,neuroscience,,yes,Dan Elton,"rTMS indicates that the dorso- lateral prefrontal cortex plays an active role in directing forgetting of information, that is, a human forgetting information when told to forget it.",
10.1037/0022-006x.65.1.93,10.1007/s00787-008-0702-z,success,psychology,,yes,Dan Elton,The “Incredible Years” parent training and child therapy programs when combined are effective at treating oppositional defiant disorder (ODD) or conduct disorder (CD) in children.,
na,10.32872/cpe.v2i4.2593,na,psychology,,yes,Dan Elton,na,
10.1111/1467-9280.00168,10.1016/j.actpsy.2026.106214,failure,psychology,psychophysics,yes,Dan Elton,Flashing faces as consistent contextual cues improves people’s ability to do visual search both in terms of speed and accuracy.,
10.1111/1467-9280.00168,10.1016/j.actpsy.2026.106214,failure,psychology,psychophysics,yes,Dan Elton,Flashing abstract figures as consistent contextual cues improves people’s ability to do visual search both in terms of speed and accuracy.,
10.1111/1467-9280.00168,10.1016/j.actpsy.2026.106214,failure,psychology,,yes,Dan Elton,Instructing people doing visual search on search strategy influences the contextual cue effect.,
10.1006/geno.2001.6647,10.1016/j.ygeno.2008.03.006,success,genetics,,yes,Dan Elton,The rs2860174 SNP on the insulin receptor gene (INSR) is  associated with migraine with aura in a statistically significant way (corrected p<0.05),
10.1006/geno.2001.6647,10.1016/j.ygeno.2008.03.006,failure,genetics,,yes,Dan Elton,The rs1051690 SNP on the insulin receptor gene (INSR) is associated with migraine with aura ,
10.1006/geno.2001.6647,10.1016/j.ygeno.2008.03.006,failure,genetics,,yes,Dan Elton,The rs1799817 SNP on the insulin receptor gene (INSR) is   associated with migraine with aura.,
10.1006/geno.2001.6647,10.1016/j.ygeno.2008.03.006,failure,genetics,,yes,Dan Elton,The rs2860172 SNP on the insulin receptor gene (INSR) is  associated with migraine with aura.,
10.1006/geno.2001.6647,10.1016/j.ygeno.2008.03.006,failure,genetics,,yes,Dan Elton,The rs2860183 SNP on the insulin receptor gene (INSR) is  associated with migraine with aura.,
10.1097/00001756-200002070-00038,10.1002/bem.10105,failure,neuroscience,medicine,yes,Dan Elton,Exposure to a 902 MHz Electromagnetic Field  (same as emitted by mobile phones) causes processing to speed up and reaction times to decrease on cognitive tests. ,
